rnd-1_family-225	Unknown	
rnd-1_family-91	LINE	I-Jockey
rnd-1_family-26	RC	Helitron
rnd-1_family-198	Unknown	
rnd-1_family-276	Unknown	
rnd-1_family-226	Unknown	
rnd-1_family-239	LINE	I-Jockey
rnd-1_family-209	Unknown	
rnd-1_family-305	DNA	P
rnd-1_family-211	Unknown	
rnd-1_family-227	LTR	Gypsy
rnd-1_family-87	Unknown	
rnd-1_family-6	RC	Helitron
rnd-1_family-288	LTR	Gypsy
rnd-1_family-153	LTR	Gypsy
rnd-1_family-152	LTR	Gypsy
rnd-1_family-233	Unknown	
rnd-1_family-306	Unknown	
rnd-1_family-277	Unknown	
rnd-1_family-115	LTR	Pao
rnd-1_family-200	LTR	Pao
rnd-1_family-174	LTR	Gypsy
rnd-1_family-86	Unknown	
rnd-1_family-65	Unknown	
rnd-1_family-7	RC	Helitron
rnd-1_family-199	LTR	Gypsy
rnd-1_family-202	LTR	Gypsy
rnd-1_family-46	DNA	CMC-EnSpm
rnd-1_family-119	LTR	Gypsy
rnd-1_family-41	LINE	CR1
rnd-1_family-64	Unknown	
rnd-1_family-56	LINE	I-Jockey
rnd-1_family-166	LINE	I-Jockey
rnd-1_family-291	Unknown	
rnd-1_family-31	Unknown	
rnd-1_family-207	LTR	Gypsy
rnd-1_family-139	Unknown	
rnd-1_family-30	LTR	Gypsy
rnd-1_family-9	RC	Helitron
rnd-1_family-213	LINE	I-Jockey
rnd-1_family-141	LINE	I-Jockey
rnd-1_family-90	LTR	Gypsy
rnd-1_family-77	Unknown	
rnd-1_family-12	LINE	I-Jockey
rnd-1_family-104	LINE	I-Jockey
rnd-1_family-160	LTR	Gypsy
rnd-1_family-72	Unknown	
rnd-1_family-74	LINE	I-Jockey
rnd-1_family-285	LINE	R1-LOA
rnd-1_family-11	RC	Helitron
rnd-1_family-172	LTR	
rnd-1_family-203	LTR	Gypsy
rnd-1_family-122	LTR	Pao
rnd-1_family-297	Unknown	
rnd-1_family-302	LTR	Gypsy
rnd-1_family-61	LINE	I-Jockey
rnd-1_family-228	LTR	Gypsy
rnd-1_family-5	RC	Helitron
rnd-1_family-96	LTR	Gypsy
rnd-1_family-22	RC	Helitron
rnd-1_family-70	LINE	I-Jockey
rnd-1_family-108	Unknown	
rnd-1_family-144	LTR	Gypsy
rnd-1_family-131	LINE	I-Jockey
rnd-1_family-273	Unknown	
rnd-1_family-10	RC	Helitron
rnd-1_family-76	Satellite	
rnd-1_family-23	RC	Helitron
rnd-1_family-148	LTR	Pao
rnd-1_family-299	DNA	P
rnd-1_family-83	Unknown	
rnd-1_family-187	RC	Helitron
rnd-1_family-229	LTR	Gypsy
rnd-1_family-237	LTR	Gypsy
rnd-1_family-185	Unknown	
rnd-1_family-208	LINE	I-Jockey
rnd-1_family-282	Unknown	
rnd-1_family-275	Unknown	
rnd-1_family-33	DNA	TcMar-Mariner
rnd-1_family-58	LTR	Pao
rnd-1_family-189	LINE	CR1
rnd-1_family-27	RC	Helitron
rnd-1_family-146	LTR	Gypsy
rnd-1_family-78	Unknown	
rnd-1_family-310	LTR	Gypsy
rnd-1_family-256	LTR	Gypsy
rnd-1_family-102	Unknown	
rnd-1_family-283	RC	Helitron
rnd-1_family-1	Unknown	
rnd-1_family-263	LTR	Pao
rnd-1_family-257	Unknown	
rnd-1_family-253	Unknown	
rnd-1_family-44	DNA	P
rnd-1_family-48	LTR	Copia
rnd-1_family-95	Unknown	
rnd-1_family-147	LINE	I-Jockey
rnd-1_family-43	Unknown	
rnd-1_family-40	Unknown	
rnd-1_family-54	LTR	Pao
rnd-1_family-69	LTR	Gypsy
rnd-1_family-286	Unknown	
rnd-1_family-151	Unknown	
rnd-1_family-117	LTR	Gypsy
rnd-1_family-220	Unknown	
rnd-1_family-134	LTR	Gypsy
rnd-1_family-118	RC	Helitron
rnd-1_family-232	RC	Helitron
rnd-1_family-258	Unknown	
rnd-1_family-221	DNA	PIF-Harbinger
rnd-1_family-93	Unknown	
rnd-1_family-250	Unknown	
rnd-1_family-85	LINE	CR1
rnd-1_family-129	LTR	Gypsy
rnd-1_family-218	LTR	Gypsy
rnd-1_family-101	LINE	CR1
rnd-1_family-194	LTR	Pao
rnd-1_family-140	LTR	Gypsy
rnd-1_family-294	LTR	Gypsy
rnd-1_family-240	LTR	Gypsy
rnd-1_family-17	LINE	I-Jockey
rnd-1_family-270	Unknown	
rnd-1_family-52	Unknown	
rnd-1_family-34	Unknown	
rnd-1_family-28	LTR	Gypsy
rnd-1_family-186	LTR	Pao
rnd-1_family-170	LTR	Gypsy
rnd-1_family-71	LINE	CR1
rnd-1_family-14	LTR	Gypsy
rnd-1_family-182	LTR	Gypsy
rnd-1_family-39	Unknown	
rnd-1_family-2	LINE	I-Jockey
rnd-1_family-259	LTR	Gypsy
rnd-1_family-244	Unknown	
rnd-1_family-107	LTR	Gypsy
rnd-1_family-37	DNA	CMC-Transib
rnd-1_family-155	LTR	Pao
rnd-1_family-201	LINE	I-Jockey
rnd-1_family-135	LTR	Gypsy
rnd-1_family-176	LTR	Gypsy
rnd-1_family-67	LINE	CR1
rnd-1_family-120	LTR	Gypsy
rnd-1_family-215	Unknown	
