"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-Unknown","Unknown"
"Scaffold_414",22190323,79.4550849935803,0.74341865145451,0.000369530448024574,NA,1.35194066350454e-05,7.21035020535753e-05,0.00037854338578127,0.000572321547550254,9.01293775669692e-06,NA,0.0153129812486281,0.00856229086886207,0.000977903746601616,0.000716528551657405,1.80258755133938e-05,NA,NA,NA,0.000279401070457604,0.00813417632541897,NA,0.000216310506160726,0.0227171096157546,0.0411485673281998,0.0170750105800623,0.131133737891062,2.86236933099171,0.00882366606380628,NA,0.000657944456238875,0.00011716819083706,0.00246053200757826,0.0214688177364521,0.00164035467171884,4.50646887834846e-06,NA,NA,NA,0.0704676538507348,0.0184900418078637,0.0242673349099065,7.35200204161066,0.0410989961705379,0.00346547456744996,0.00986916684358312,0.104383338629185,NA,NA,NA,0.20246663376644,0.0619639470772913,0.347719138653367,0.587972513964758,0.0798095638355512,0.0036637591980973,0.0256688467310728,NA,NA,0.00157275763854361,0.00300581474185842,0.00153670588751682,0.0013294083191128,NA,NA,5.43735663514226,0.244448897837134,2.03368828835885
"Scaffold_278",431038,73.6290071873014,0.238030057674729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00162398674826813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341037217136308,0.0512715816238939,3.65141820442745,NA,NA,NA,NA,0.00463996213790896,0.139198864137269,NA,0.0143838826275178,NA,NA,NA,0.0853753033375248,NA,NA,10.5447779546119,0.0417596592411806,0.00603195077928164,0.0255197917584992,0.472116147532236,NA,NA,NA,0.230606118254075,0.000231998106895448,0.583243240735156,0.329669309898431,0.256125910012574,0.00603195077928164,0.112751079951188,NA,NA,NA,NA,NA,NA,NA,NA,5.44151559723273,1.41982841420014,2.6807381251769
"Scaffold_344",39990007,92.4285384596207,0.230645120917333,0.000147536858395649,NA,NA,NA,NA,NA,NA,1.25031235928516e-05,NA,NA,0.000260064970731313,NA,NA,1.00024988742813e-05,NA,NA,0.000257564346012743,0.00427356764403667,1.50037483114219e-05,NA,0.00377844394975975,0.0071267804479254,0.00438859638109091,0.0278494574907176,0.939137119930987,0.00643160677616286,1.50037483114219e-05,0.000415103703282673,6.25156179642579e-05,0.000650162426828282,0.00119029736603947,NA,2.50062471857032e-06,NA,NA,9.5023739305672e-05,0.0107676900381638,3.00074966228438e-05,0.00736684042090815,1.33647388458822,0.0213878432179319,0.00520380003934483,0.00268567094774452,0.0195448828003456,2.50062471857032e-06,0.000267566844887024,0.000295073716791297,0.0510202461329902,0.0161840431785871,0.0836609005844885,0.258532087778829,0.0510802611262359,0.00254813658822315,0.0107851944111938,NA,NA,0.00127781923118943,0.00228807161749184,0.00128532110534514,0.00251562846688174,0.000385096206659829,NA,3.65732369089108,0.0979944814713336,0.703790824542741
"Scaffold_387",121119,75.8559763538338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42803358680306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140357829902823,NA,0.238608310834799,8.32734748470513,0.0305484688612026,NA,0.287320734154014,1.03947357557444,NA,NA,NA,0.0693532806578654,0.1865933503414,0.572990199720936,0.610969377224052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63180838679315,1.65044295279849,3.05649815470735
"Scaffold_95",122295,59.0612862341061,0.880657426714093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193793695572182,NA,NA,5.75657222290363,0.111206508851547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0261662373768347,NA,0.151273559834826,16.2467803262603,0.255938509342164,NA,0.470992272783025,1.86761519277158,NA,NA,NA,2.29118116030909,0.55766793409379,1.15458522425283,2.5642912629298,0.207694509178625,0.0163538983605217,0.141461220818513,NA,NA,NA,NA,NA,NA,NA,NA,2.41220000817695,1.25270861441596,4.37957398094771
"Scaffold_365",319582,81.1766620147568,0.786652564912917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00187745242222653,NA,NA,NA,NA,NA,NA,NA,0.00187745242222653,0.0131421669555857,0.0262843339111715,0.0585139338260603,NA,0.055071937718645,0.285059859441395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13713538309417,0.00187745242222653,0.000625817474075511,0.081982089103892,0.406781358149082,NA,NA,NA,0.0841724502631563,0.0331683261260021,0.416168620260215,0.845792316213053,0.177732162637445,NA,0.0147067106407745,NA,NA,NA,NA,NA,NA,NA,NA,7.85870293070323,0.197758321807862,0.338254344737814
"Scaffold_280",3960505,84.7213928526791,0.783485944342956,NA,NA,NA,NA,0.000656481938540666,0.00113621873978192,NA,NA,NA,0.00967048394081058,0.000302991663941846,NA,NA,0.000126246526642436,NA,NA,0.000126246526642436,0.00588308814153751,NA,NA,0.0268400115641818,0.0271430032281237,0.0281277261359347,0.153692521534501,2.39292716459138,0.00424188329518584,NA,NA,0.000378739579927307,0.000934224297154025,0.0183309956684817,0.000984722907810999,NA,NA,NA,NA,0.0175230178979701,0.00305516594474695,0.0322181135991496,3.39936447498488,0.116172053816369,0.0140891123732958,0.00893825408628445,0.0574674189276368,NA,NA,NA,0.0997347560475242,0.018659236637752,0.230702902786387,0.739223912102118,0.0947606428978123,0.000959473602482512,0.0191894720496502,NA,NA,NA,NA,NA,NA,NA,NA,4.92879064664733,0.136371498079159,1.90639830021677
"Scaffold_293",9976466,82.2653332352358,0.872443207845343,0.000491155886262731,NA,NA,NA,NA,NA,NA,NA,NA,9.02123056400934e-05,0.000561321012871692,NA,NA,NA,NA,NA,0.000831957929791972,0.00457075681909807,NA,NA,0.00516214860051646,0.0147747709459442,0.00843986237210652,0.0746556947119351,2.58439210838788,0.0109156889824513,NA,0.00275648711678063,0.000300707685466978,0.00238561430470469,0.00852005108823104,NA,0.000471108707231599,NA,NA,NA,0.0417783211008788,0.00234551994664243,0.0197063769876026,5.83618487749069,0.0212700569520309,0.00501179475778297,0.0139528366056678,0.0733225573063648,NA,NA,NA,0.178319657481918,0.0448756102611887,0.31465049848313,0.492258481109443,0.0659251482438771,0.00299705326515421,0.0197865657037272,NA,NA,NA,NA,0.00198467072408205,NA,NA,NA,4.67740781154369,0.222664017498782,2.10846205459929
"Scaffold_173",270691,76.9020765374541,4.86458729695483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0254903192200701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0325093926284952,0.243820444713714,0.472494467861879,2.50248438256167,NA,NA,NA,NA,0.0144075717330831,0.183604183367751,NA,NA,NA,NA,NA,0.0066496484921922,NA,NA,3.50362590555283,NA,NA,NA,NA,NA,NA,NA,0.188406707278779,NA,0.0011082747486987,0.409692232102286,0.0797957819063065,0.0908785293932935,0.0546748876024692,NA,NA,NA,NA,NA,NA,NA,NA,5.51477514952474,0.248622968624742,4.66029531827804
"Scaffold_155",896135,68.2040094405419,0.124981169131883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0424043252411746,0.000446361318328154,NA,NA,NA,0.00156226461414854,NA,0.000557951647910192,NA,NA,NA,0.0853666021302594,0.00915040702572715,0.0323611955787911,0.323277184799165,4.0817510754518,0.023210788553064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0675121493971333,0.00937358768489123,0.0553488034726911,12.6920609060019,0.000557951647910192,NA,NA,0.000446361318328154,NA,NA,NA,0.277078788352201,0.0149531041639931,0.567213645265501,2.1415300150089,0.281542401535483,NA,0.0181892237218723,0.551702589453598,0.00301293889871504,0.078336411366591,0.107126716398757,0.00836927471865288,0.00490997450160969,NA,NA,6.81169689834679,0.232331066189804,3.14762842652056
