"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-tandem_repeat","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"Scaffold_311",25379,43.7014854801214,0.882619488553528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7948697742228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2158477481382,1.13085621970921,0.185192481973285,NA,NA,NA,NA,NA,NA,0.527995586902557,1.33969029512589,0.606800898380551,8.24697584617203,0.275818590172978,NA,NA,NA,NA,NA,NA,NA,NA,7.53378777729619,NA,0.638323022971748,NA,2.91973679025966
"Scaffold_56",51609,48.962390280765,2.03452886124513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.170532271503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9026138851751,0.426282237594218,NA,NA,NA,NA,NA,NA,NA,0.325524617799221,0.166637601968649,0.321649324730183,8.16911778953283,0.265457575229127,NA,0.222829351469705,NA,NA,NA,NA,NA,NA,6.39035827084423,NA,0.990137379139297,NA,6.65194055300432
"Scaffold_413",26501692,95.8270702112152,0.0448046864328512,0.000188667199060347,NA,NA,NA,NA,NA,NA,6.79201916617248e-05,0.00149047087257674,0.000682975260598455,NA,1.50933759248277e-05,NA,NA,0.00248663368361537,NA,NA,0.000535814845331385,0.000494308061538109,0.00213571269336313,0.00713162012448111,0.125444820655225,0.00141877733693381,0.00198100559013364,0.000324507582383796,NA,0.000713162012448111,NA,NA,0.000909375899470872,0.00210175259753226,0.000173573823135519,0.000396201118026728,0.00156593775220088,NA,0.00499590743111798,NA,0.00499968077509919,0.256847751456775,0.0118294333810837,0.00237343336417916,0.000362241022195866,0.00222249960493089,6.0373503699311e-05,0.000822588987903112,0.00163763128784381,3.77334398120694e-06,0.0124029816662272,0.00650524502360076,0.0110596712089175,0.133832964325448,0.0226664772951101,0.00406389146775987,0.0089767853312913,NA,NA,0.00329035595161245,0.000875415803640009,NA,6.41468476805179e-05,3.17619342946103,NA,0.0679843385094054,NA,0.24379575462578
"Scaffold_344",39990007,92.3834897053156,0.258879674614711,0.000435108701031235,3.00074966228438e-05,1.75043730299922e-05,2.50062471857032e-06,NA,NA,NA,3.75093707785548e-05,0.000295073716791297,0.00293573341960155,0.000127531860647086,4.00099954971251e-05,NA,1.00024988742813e-05,0.00530132440336907,0.000285071217917016,9.75243640242423e-05,0.000255063721294172,0.00519879878990769,0.00258564595900171,0.0178569611153106,0.900892565485172,0.0109277300201523,0.0012553136087223,0.000197549352767055,NA,0.000732683042541103,0.00106526613011095,NA,0.00378344519919689,0.00476369008887645,0.000117529361772805,0.000120029986491375,0.00249062221969604,NA,0.0150337558080447,0.000695173671762548,0.0159489844550415,1.48921954427265,0.0133183272511055,0.00779694787250225,0.00103025738405097,0.00180044979737063,8.75218651499611e-05,0.00023755934826418,0.00119529861547661,0.000467616822372649,0.0538934639346275,0.0156114001180345,0.0795973854168118,0.341775384035317,0.0463040679137666,0.00498124443939207,0.0129832435388171,0.00078519616163108,NA,0.00473118196753504,0.00143785921317793,0.000440109950468376,4.50112449342657e-05,3.64412789425118,NA,0.111027737504522,0.000875218651499611,0.530324988440237
"Scaffold_173",270691,86.4542965964882,1.51242560705749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0882925549796632,NA,NA,NA,0.0040636740785619,NA,0.0410061657018519,1.47252771610434,NA,NA,NA,NA,NA,NA,NA,NA,0.21906897532611,NA,NA,NA,NA,NA,NA,NA,1.38054091196235,0.0683436095030865,NA,NA,0.0166241212304805,NA,NA,NA,NA,NA,NA,NA,1.16368848613364,0.129668145597748,0.0365730667070571,0.00775792324089091,NA,NA,NA,NA,NA,NA,6.00721856286319,NA,0.411539356683451,NA,0.986364526341844
"Scaffold_293",9976466,77.7568329306189,0.848025743785425,0.00228537840954903,NA,NA,NA,NA,NA,NA,0.000992335362041027,0.00877064082612019,0.0185636877828281,0.00187441123941083,NA,NA,NA,0.00569339884484145,NA,NA,0.000431014349169335,0.00333785530868346,0.0229941143487083,0.0573249084395216,3.96631432413041,0.0647223175020092,0.0121586140823815,0.00125294868944574,NA,0.00172405739667734,0.00916156081722726,NA,0.0188744190578107,0.00946226850269424,0.00407960093283533,0.00149351483781932,0.00830955570840416,NA,0.0377588617051369,0.00118278356283678,0.0744451993321082,8.07225725021265,0.0309829151926143,0.0156869175918607,0.000992335362041027,0.00368868094172826,NA,NA,NA,NA,0.259590921274127,0.0541474305630872,0.523481962450431,1.03819328407474,0.185326146553299,0.0230743030648328,0.104696392490086,NA,NA,0.000420990759653769,0.0017641517547396,NA,NA,4.37857453731612,NA,0.279587982357681,NA,2.0894673524673
"Scaffold_414",22190323,78.3770655343773,0.765680607713552,0.000383049854659619,NA,NA,NA,NA,0.00049571157661833,8.11164398102723e-05,0.000135194066350454,0.000558802140915209,0.00263628429383385,0.000482192169983285,NA,9.01293775669692e-06,6.75970331752269e-05,0.0125324899506871,0.000464166294469891,0.000229829912795771,0.000441633950078149,0.0690886743739602,0.00763846474880064,0.0616214554425368,3.37998234635882,0.0888540468743966,0.00289765948877806,0.00498866104833174,NA,0.000860735555764556,0.00184314577124452,NA,0.0131048114982373,0.0154526817838569,0.00547986615607172,0.0163089108707431,0.0116086638306256,NA,0.0464346553225025,0.0139745599917586,0.0387601388226751,7.69623767982107,0.023537286951614,0.00908954772762884,0.00592600657502822,0.0166108442855924,0.000896787306791343,NA,NA,NA,0.218883699890263,0.0763576086747363,0.392716230403676,0.792877147394385,0.102391479384955,0.0365384496656493,0.0489672908321344,0.000878761431277949,NA,0.00241997378767312,0.00152318648088178,NA,NA,5.36726301820843,NA,0.24969893408041,0.000959877871088222,2.01606348857563
"Scaffold_164",5743958,79.4133244010489,0.612783032187909,0.00200210377582844,3.48191961013642e-05,NA,NA,1.74095980506821e-05,6.96383922027285e-05,NA,0.00024373437270955,0.00111421427524366,0.0121170802432748,0.000835660706432742,6.96383922027285e-05,NA,1.74095980506821e-05,0.010898408379727,NA,NA,0.00149722543235866,0.0107243123992202,0.0138058112541909,0.0824344467699799,3.3025659310183,0.0544572227025337,6.96383922027285e-05,0.00628486489629625,6.96383922027285e-05,NA,0.00240252453099413,NA,0.0292655343231967,0.0129005121555555,0.000800841510331378,NA,0.00200210377582844,NA,0.0992695280849895,NA,0.0590533565879138,6.40869936723075,0.0284995120089666,0.00703347761247558,0.00517065062105259,0.00374306358089666,NA,NA,NA,NA,0.280103023037425,0.103273735636646,0.20597295453762,0.835504020050286,0.0931239399730987,0.01505930231384,0.0392238244081868,0.013858040048343,NA,0.00257662051150095,0.000922708696686153,NA,NA,5.46008518864518,NA,0.287972161356333,NA,2.47804736733799
"Scaffold_28",10019847,95.0350738888528,0.0123554780826494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000628752115676018,NA,NA,NA,0.00109782115435495,0.00263477077045188,0.00237528577033162,0.0598412331046572,0.00233536500108235,NA,NA,NA,NA,NA,NA,0.00120760326979045,0.000888237115796279,NA,NA,NA,NA,0.000588831346426747,NA,0.00304395865525691,0.0310783188605575,0.00125750423135204,0.00030938596168185,NA,NA,0.000289425577057215,0.00250502827039175,0.00756498577273685,0.000918177692733232,0.00197607807783891,0.0044411855789814,0.00217568192408527,0.0344815644390578,0.0128844282752022,0.000938138077357868,NA,NA,NA,0.00520966038702986,0.00477053192528788,0.00215572153946063,0.000169663269309402,4.51952010844078,0.000389227500180392,0.0851909215779443,0.00540926423327622,0.154293773148432
"Scaffold_280",3960505,85.2292068814457,0.861455799197325,0.00212094164759292,NA,NA,NA,NA,0.000277742358613359,NA,NA,0.000403988885255794,0.00580734022555204,0.000126246526642436,NA,NA,NA,0.0158313144409614,NA,NA,NA,0.00850901589570017,0.00810502701044438,0.103724146289425,2.88064274631644,0.0150485859757783,0.00292891941810451,NA,NA,NA,0.00244918261686325,NA,0.00459537356978466,0.000100997221313949,NA,NA,NA,NA,0.0664814209299067,NA,0.0463577245831024,2.60075419675016,0.0582501473928199,0.0194419651029351,NA,0.00537810203496776,NA,NA,NA,NA,0.11465709549666,0.0369397336955767,0.0971593269040185,0.840599872995994,0.202145938459868,0.00823127353708681,0.0783233451289671,NA,NA,NA,NA,NA,NA,4.6818271912294,NA,0.250069119973337,NA,1.75204929674372
