"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-tandem_repeat","DNA-LINE-LTR-Satellite","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-rRNA","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-Satellite","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-Unknown","DNA-rRNA","DNA-Satellite","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-Unknown","LINE-LTR-rRNA","LINE-LTR-Satellite","LINE-LTR-Satellite-tandem_repeat","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-Satellite","LINE-rRNA-Satellite-tandem_repeat","LINE-rRNA-Satellite-tandem_repeat-Unknown","LINE-rRNA-Satellite-Unknown","LINE-rRNA-tandem_repeat","LINE-rRNA-tandem_repeat-Unknown","LINE-rRNA-Unknown","LINE-Satellite","LINE-Satellite-tandem_repeat","LINE-Satellite-tandem_repeat-Unknown","LINE-Satellite-Unknown","LINE-Simple","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-tandem_repeat","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-Unknown","RC","RC-Satellite","RC-tandem_repeat","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-tandem_repeat","rRNA-Satellite-Unknown","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"NT_033777.3 chr3R",32079331,27733739,207807,7502,2054,367,NA,NA,54,NA,826,193,NA,NA,42,52,913,33155,1494,NA,NA,NA,500,123,8282,1701,NA,NA,NA,NA,3173,98,2109,863135,86037,655,83,NA,NA,NA,NA,4852,415,6580,2173,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,11737,730,4435,2137915,9025,139,NA,NA,NA,345,3702,NA,NA,NA,NA,65653,3400,NA,26340,33915,NA,878,66,84,NA,NA,NA,NA,NA,NA,4168,18054,3576,5329,2183,448,46,309,627215,NA,10984,1773,138504
"NC_024512.1 chrY",3667352,1017745,183414,13916,1861,NA,NA,NA,NA,131,2982,NA,NA,NA,74,235,315,21681,86,NA,NA,NA,963,1739,16095,154,NA,NA,NA,NA,2386,723,32670,443654,82115,NA,NA,224,NA,NA,NA,3037,377,25405,1015,NA,1448,41,NA,NA,NA,NA,NA,NA,NA,501,NA,352,8054,NA,21710,856,42876,1532036,2907,NA,336,NA,NA,465,NA,NA,NA,NA,NA,44824,3236,NA,39488,12137,NA,244,6975,NA,NA,NA,NA,NA,NA,NA,211,NA,555,8023,NA,NA,NA,NA,32720,NA,3514,NA,50846
"NC_004354.4 chrX",23542271,20741195,109424,10294,2628,1165,171,NA,NA,NA,1103,592,87,NA,131,70,305,18730,974,NA,2,NA,82,4996,4032,519,NA,NA,NA,1,5574,4209,11384,544986,38066,1873,NA,NA,NA,NA,NA,1231,346,5498,7778,808,NA,1157,3,NA,NA,NA,1640,180,1,2179,603,NA,648,NA,13372,130,5136,937635,8319,1115,NA,41,6,115,NA,NA,53,47,34,26180,1257,NA,16874,39379,NA,3237,164,22566,517,56,NA,210,NA,5768,18513,26737,1837,1314,3242,1071,57,135,719650,NA,37835,471,124533
"NW_001845132.1 chrX 211000022279705 ",4515,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3526,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT_033778.4 chr2R",25286936,20487441,230716,17798,4888,3890,168,NA,1122,174,1718,6095,1383,NA,1415,NA,688,46303,2117,NA,NA,NA,411,NA,6681,4817,1061,NA,NA,NA,85062,100,2492,1015066,75215,2312,209,NA,NA,NA,9,4472,3339,17109,7095,282,NA,33,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,70,10838,321,8888,2462680,17836,475,NA,NA,NA,146,2199,NA,NA,NA,NA,57261,9165,NA,45761,72284,NA,2635,832,NA,NA,NA,NA,19203,NA,NA,927,3918,NA,NA,1948,420,94,289,399612,NA,16516,4113,116822
"NW_007931076.1 chr3CEN 3Cen_mapped_Scaffold_1_D1896_D1895 ",76224,6081,6299,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,200,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,57117,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,1587,713,NA,1774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,63,NA,402
"NT_037436.4 chr3L",28110227,23652575,221422,12482,1355,1349,NA,NA,NA,66,2606,531,76,NA,125,26,1680,30238,2435,86,2,NA,196,146,12653,4299,850,10,NA,NA,7085,65,5266,952077,70757,2328,242,4,NA,10,NA,3052,130,13606,2543,356,NA,19,NA,NA,NA,NA,NA,NA,NA,53,NA,3,NA,NA,8449,167,7093,2267640,14159,218,6,NA,NA,4464,NA,204,NA,NA,NA,55083,2022,18,48983,61617,2,3857,517,8,NA,NA,NA,NA,NA,NA,4658,59905,16786,681,1331,760,87,240,419283,NA,7214,813,121158
"NT_033779.5 chr2L",23513712,21395838,130918,7278,145,1236,68,NA,NA,9,77,264,230,NA,6,NA,397,20086,1477,21,NA,22,1208,29,2449,838,NA,NA,NA,2,7943,26,1113,300259,17169,1312,77,NA,NA,NA,NA,251,351,4382,1835,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3232,430,2618,922790,8977,35,NA,NA,NA,2407,NA,21,61,NA,NA,87430,395,NA,10558,40728,NA,707,113,NA,NA,NA,NA,NA,NA,NA,3033,5502,NA,1161,1959,762,42,76,304707,1,10951,557,206980
"NW_007931098.1 Unmapped_Scaffold_48_D1678 ",26115,8455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,499,NA,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,200,NA,954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,NA,NA,NA,NA
"NW_001845026.1 211000022279892 ",13553,7798,61,199,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1657,167,NA,NA,NA,NA,NA,NA,NA,NA,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,323,NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA
