"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple-tandem_repeat","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-Unknown","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"Scaffold_344",39990007,92.7890110146767,0.280512579055062,0.00605151181894017,1.25031235928516e-05,NA,4.00099954971251e-05,2.25056224671329e-05,NA,0.000742685541415384,0.00178794667377778,0.00444110950018088,NA,NA,0.00428357014291095,NA,0.00526381503259052,0.000650162426828282,0.000380094957222688,NA,0.00339084711838135,0.00534383502358477,0.00334833649816565,0.0313603345955903,0.700975121109631,0.00284070968029588,5.00124943714063e-06,NA,5.25131190899766e-05,NA,NA,0.000320079963977001,5.00124943714063e-06,0.00740935104112385,0.000435108701031235,0.000370092458348407,NA,0.000127531860647086,NA,0.00394098455646682,0.00131782922668656,0.0116204030671963,1.21333562157166,0.016324078162827,0.000327581838132711,0.000232558098827039,0.00731182667709961,NA,NA,0.040417597326252,0.00758439477142377,0.0559889874487894,0.284693623584512,0.0380570075919216,0.0113728412200578,0.0361890409271496,NA,NA,0.00599899869985019,0.00163290794122642,0.00250812659272603,0.00239059723095322,NA,NA,3.73017439081719,NA,0.0656864101074051,0.000795198660505361,0.612915621645178
"Scaffold_230",312319,74.4684121042908,0.51838024583839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172900143763268,NA,NA,2.50288967369901,0.0435452213922304,NA,NA,NA,NA,NA,NA,NA,0.0838885882703262,0.0166496434734999,NA,NA,NA,NA,NA,NA,0.0166496434734999,6.74982950124712,NA,NA,NA,NA,NA,NA,0.236296863143133,NA,0.0214524252447017,2.16765550606912,0.015368901667846,NA,0.0963758208754511,NA,NA,NA,NA,NA,NA,NA,NA,7.34953685174453,NA,0.200436092584825,NA,5.49534290260919
"Scaffold_164",5743958,76.5201277585943,0.552180221373485,0.0478241658452238,NA,0.000226324774658868,NA,NA,0.00297704126666664,0.00332523322768029,0.027385297733723,0.031163180510721,0.000226324774658868,NA,0.0283602352245612,NA,0.0505922919352823,0.00207174216803117,0.00358637719844052,NA,0.00840883585847947,0.00896594299610129,0.00320336604132551,0.0921838216783619,3.54704891644403,0.0156512286475632,NA,NA,1.74095980506821e-05,NA,NA,0.00276812609005846,0.00125349105964911,0.0168873101091617,0.00304667965886937,0.00215879015828458,NA,NA,NA,0.00980160370253404,0.00391715956140348,0.0740778397056524,8.1174514159052,0.0303623390003896,0.00332523322768029,NA,0.0279424048713448,NA,NA,0.163737269666665,0.152490669325925,0.467848128415981,0.827896025702138,0.0978767602409349,0.0641195496206623,0.0657908710335278,NA,NA,NA,NA,0.002628849305653,NA,NA,NA,5.43865397344479,NA,0.425664672339178,NA,3.05477512196294
"Scaffold_395",67686,43.1920928995656,4.74987442011642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0694382885677984,0.741660018319889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9520137103685,NA,NA,NA,NA,NA,NA,0.729840735159413,NA,0.0073870519752977,NA,NA,NA,NA,NA,NA,3.23996099636557,6.85666164347132,NA,NA,NA,NA,18.7660668380463,NA,0.57619005407322,NA,3.11881334397069
"Scaffold_178",86778,45.6002673488672,0.383737813731591,0.193597455576298,NA,NA,NA,NA,NA,NA,0.147502823296227,NA,NA,NA,NA,NA,NA,0.0184378529120284,0.200511650418309,NA,NA,NA,NA,NA,13.4169950909217,NA,NA,NA,NA,NA,NA,NA,NA,0.296158012399456,0.0599230219640923,NA,NA,NA,NA,0.0241996819470373,NA,NA,12.2150775542188,1.09013805342368,NA,NA,NA,NA,NA,0.60383968286893,0.17515960266427,0.0046094632280071,6.37719237594782,1.17310839152781,2.63661296642006,0.880407476549356,NA,NA,NA,NA,0.07144668003411,NA,NA,NA,2.84403881168038,NA,3.33033718223513,NA,8.25670100716771
"Scaffold_293",9976466,82.5054382984917,0.758013909935643,0.0223325574406809,NA,NA,NA,NA,NA,0.0197264241666338,0.0235253645930332,0.00651533318511786,NA,NA,0.00948231568172537,NA,0.0136320817411697,3.00707685466978e-05,NA,NA,0.0105147454018287,0.0129504776541112,0.0107352643711711,0.0794068761423133,2.52383960412435,0.0229039020430682,NA,NA,NA,NA,NA,0.00704658342944285,0.000892099466885368,0.00927182030189849,0.00156367996442829,0.00167393944909951,NA,NA,NA,0.0487046214561349,0.00334787889819902,0.0224728876938988,5.42561865093311,0.0182228857392989,0.00259610968453158,0.000240566148373582,0.0759788085279898,1.00235895155659e-05,NA,0.127670459659763,0.0633791565069234,0.24778313282479,0.756139498696232,0.0770613561956709,0.0333885766763501,0.10538802016666,NA,NA,NA,NA,0.0076780695689235,0.00376886965785279,NA,NA,4.59803100616992,NA,0.279557911589134,NA,2.06346616126392
"Scaffold_409",28222,7.02997661398909,8.30203387428247,NA,NA,NA,NA,NA,NA,NA,NA,0.148820069449366,NA,NA,1.12323719084402,NA,0.605910282758132,NA,NA,NA,0.761817022181277,0.113386719580469,0.545673587981008,2.04096095244844,5.64807596910212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9356530366381,NA,NA,NA,NA,NA,NA,1.05945716108001,1.92403089788109,1.69017078874637,1.99135426263199,0.131103394514917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02048047622422,NA,16.0690241655446,NA,21.8588335341223
"Scaffold_149",516885,65.7831045590412,0.397960861700378,0.0363717267864225,NA,NA,NA,NA,NA,NA,0.0334697273087824,0.0804821188465519,NA,NA,NA,NA,0.101763448349246,NA,NA,NA,NA,0.0127687977016164,NA,0.00793213190554959,4.86413805778848,0.000967333159213365,NA,NA,NA,NA,NA,NA,NA,0.0456581251148708,NA,NA,NA,NA,NA,0.00483666579606682,NA,0.00328893274132544,12.2241891329793,0.188629966046606,NA,NA,0.000580399895528019,NA,NA,0.205655029648761,0.449809919034215,0.818750785958192,3.3612892616346,0.300840612515356,0.01954012981611,0.698027607688364,NA,NA,NA,NA,0.0172185302339979,NA,NA,NA,5.88099867475357,NA,0.465480716213471,NA,3.99624674734225
"Scaffold_259",66684,59.066642672905,0.24293683642253,NA,NA,NA,NA,NA,NA,NA,NA,0.142462959630496,NA,NA,NA,NA,0.523363925379401,NA,NA,NA,NA,NA,NA,0.0314918121288465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8630556055426,NA,NA,NA,NA,NA,NA,1.15020094775358,0.74080739007858,1.66906604282886,1.45162257812969,0.890768400215944,0.00299922020274729,0.164957111151101,NA,NA,NA,NA,NA,NA,NA,NA,6.26837022374183,NA,0.404894727370884,NA,4.38635954651791
"Scaffold_191",201142,53.5104553002357,0.105398176412684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00149148362848137,NA,NA,NA,NA,NA,NA,NA,0.34751568543616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0492189597398853,NA,NA,NA,NA,0.0536934106253294,0.0954549522228078,32.3318849370097,0.00248580604746895,NA,NA,0.315200206819063,NA,NA,0.749719103916636,0.533951138996331,1.49396943452884,0.667190343140667,0.147159718010162,0.224716866691193,0.181463841465234,NA,NA,NA,NA,NA,NA,NA,NA,4.81401199152837,NA,0.845174056139444,NA,3.52984458740591
