"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-tandem_repeat","DNA-LINE-tandem_repeat","DNA-LTR","DNA-LTR-tandem_repeat","DNA-LTR-Unknown","DNA-RC","DNA-Satellite","DNA-tandem_repeat","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-rRNA","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-tandem_repeat","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-rRNA","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-Unknown","rRNA","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Simple","Simple-tandem_repeat","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"NT_033777.3 chr3R",32079331,93.4580150689551,0.325421374903361,0.00998150491355322,0.00372514002863713,0.000168332687486531,NA,0.0276377334676961,0.000280554479144219,NA,NA,NA,0.00436106351469736,NA,0.931026273584072,0.10551342233415,NA,0.00422390354711574,4.67590798573698e-05,8.41663437432657e-05,4.98763518478612e-05,NA,NA,NA,0.00720401557002545,NA,NA,2.53262451140268,0.00404933631564823,NA,NA,0.0623921988896838,0.000897774333261501,0.0268615327420637,0.0435825796990592,0.000888422517290027,NA,0.000246264487248815,NA,0.00306116109466248,NA,0.00186101137832332,0.000324196287011098,2.26692071602117,NA,0.00961990136265622,0.00153369781932173,0.167397505889384
"NC_024512.1 chrY",3667352,67.8406381498149,1.61986086964109,0.13273882627029,0.0397562055673958,NA,NA,0.17293131392896,0.00624428743136737,0.0138246887672631,NA,NA,0.0336482562895517,0.129575781108549,5.03235031706801,0.563103841681955,NA,0.0353661170239453,NA,0.00572620244797881,NA,NA,0.0011179728588911,NA,0.111279200905722,0.00229048097919153,0.22803919558308,18.5486694486921,0.000299943937751271,NA,NA,0.463195242780077,0.0411468547333335,0.600133284178884,0.151580759087211,0.00286310122398941,0.00501724404965763,NA,NA,0.00294490411610339,NA,NA,NA,2.46087640346495,NA,0.0518357659695606,NA,1.70294534039819
"NC_004354.4 chrX",23542271,93.9627064865577,0.217205043642561,0.00696194517512775,0.00463846499770562,NA,NA,0.0202401883828455,0.000165659464203772,NA,NA,NA,0.00167358535631503,NA,0.59340069613505,0.0119954442797808,NA,NA,NA,NA,NA,NA,0.000174154821342427,NA,0.0163195810633562,NA,NA,1.24961606295331,0.0109250292803103,0.00013592571421848,0.000174154821342427,0.0359226176608026,0.0147691783855517,0.00993532017365699,0.113200633872578,0.0167485965988583,NA,0.0385434353380776,7.64582142478948e-05,0.0418608723007224,0.0276226537363366,0.00322398803411956,0.000615913392552486,3.45884218221768,NA,0.0500334058681085,0.00173730053485494,0.0905350210266461
"NW_001845132.1 chrX 211000022279705 ",4515,0.0221483942414175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.0952380952381,1.57253599114064,NA,NA,NA,NA,NA,NA,0.908084163898117,NA,1.55038759689922,NA,NA,14.4407530454042,NA,NA,NA,3.41085271317829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT_033778.4 chr2R",25286936,91.8596464197956,0.286056800238669,0.00815440826836434,0.00633133251098512,0.00437775458442257,0.00269309021860142,0.0466050928431978,0.000933288240220167,NA,NA,NA,0.153751328353898,NA,1.29436006007213,0.0834818421654565,NA,0.005271496712769,NA,NA,1.58184447494944e-05,NA,0.000130502169183328,NA,0.0116898306698763,NA,3.95461118737359e-05,3.61718398781094,0.0161031767549853,6.7228390185351e-05,NA,0.0921978052224279,0.00142761463864187,0.0317120271115488,0.123486688936928,0.00400997574399682,NA,NA,NA,0.000636692401167148,0.0036382422923837,0.00149088841763984,0.000122592946808581,2.1725526572298,NA,0.00649742618085481,0.00113101879958885,0.164203365722126
"NW_007931076.1 chr3CEN 3Cen_mapped_Scaffold_1_D1896_D1895 ",76224,57.8203715365239,1.99412258606213,NA,NA,NA,NA,0.360778757346767,NA,NA,NA,NA,NA,NA,0.128568429890848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6265743073048,NA,NA,NA,0.843566330814442,0.010495382031906,0.526081024349286,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44180310663308,NA,0.882924013434089,NA,0.364714525608732
"NT_037436.4 chr3L",28110227,93.5284122750058,0.292430936256758,0.0111489672424203,0.00323369853968095,NA,0.000184986055075258,0.0310776572526433,0.000184986055075258,3.91316654966892e-05,7.82633309933783e-05,NA,0.00772672522352808,7.1148482721253e-06,1.14910847215855,0.0585694309761355,NA,0.00491991758017465,NA,0.000249019689524386,1.0672272408188e-05,NA,NA,NA,0.00962283228804947,NA,NA,2.53676357718492,0.00830302793357023,NA,NA,0.069842908063318,0.00178938434043951,0.0363462023981521,0.0881849869088571,0.00764490446839864,NA,NA,NA,0.00634288723459971,0.0666945877029026,0.000800420430614097,0.000494481954912708,1.90889956171467,NA,0.00783700537174602,NA,0.163050977852296
"NT_033779.5 chr2L",23513712,95.8584335812227,0.222240537776426,0.00239434760449562,0.000506087681944901,NA,NA,0.0316070895144076,0.00440168698162162,NA,4.67812142974278e-05,NA,0.0175982422511597,NA,0.463903785161611,0.0187082328813077,NA,6.37925649510379e-05,NA,NA,NA,NA,NA,NA,0.00738717902133019,NA,8.50567532680506e-06,1.38861103682821,0.00709373322255542,NA,NA,0.199228433179755,0.000357238363725812,0.0129881662240313,0.0902324567044114,0.00213067166936467,NA,NA,NA,0.0105810601065455,NA,0.00256446111103172,0.000812291993709883,1.56854859836677,4.25283766340253e-06,0.00512041654673664,0.000982405500245984,0.083444927793621
"NW_007931098.1 Unmapped_Scaffold_48_D1678 ",26115,37.7599080987938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1401493394601,NA,NA,NA,0.815623205054566,0.176143978556385,1.07218073903887,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03216542217117,NA,NA,NA,0.00382921692513881
"NW_001845026.1 211000022279892 ",13553,58.3044344425588,0.450084852062274,1.4683095993507,0.391057330480336,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3884010920091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0516490813841954,NA,NA,17.7377702353722,NA,NA,NA,4.1614402715266,NA,1.37238987678005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870655943333579,NA,NA,NA,2.80380727514203
