"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-Satellite-tandem_repeat","DNA-Simple","DNA-Simple-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-tandem_repeat","LINE-rRNA-Unknown","LINE-Satellite","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Satellite","LTR-rRNA-Satellite-Simple","LTR-rRNA-Satellite-tandem_repeat","LTR-rRNA-Simple","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-Simple","rRNA-Satellite-Simple-tandem_repeat","rRNA-Satellite-tandem_repeat","rRNA-Simple","rRNA-Simple-tandem_repeat","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-Simple","Satellite-Simple-tandem_repeat","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_285",965532,399687,17344,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,2577,15,NA,NA,NA,304,NA,5,476,156,NA,682,NA,NA,NA,797,15,3679,117697,988,NA,NA,4,NA,NA,NA,NA,NA,58,NA,NA,48,13,31,122,NA,NA,NA,NA,NA,NA,NA,NA,810,NA,1783,238085,1282,NA,NA,122,297,1110,NA,NA,NA,NA,NA,NA,NA,NA,78,102,NA,NA,5233,2286,NA,NA,33421,21890,NA,NA,NA,NA,NA,NA,2574,440,3713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,945,NA,NA,448,106,NA,NA,39150,NA,7408,NA,NA,59267
"Scaffold_414",22190323,9656905,547218,18431,20,NA,27,NA,NA,30,385,58,3195,794,48,635,1419,10643,2882,2499,2233,12337,1225,2409,14545,7554,1736,3644,14444,NA,2,2,36158,12786,103637,2368919,40916,440,48,397,2595,352,NA,NA,NA,1072,160,2299,10338,4352,5975,3087,579,NA,NA,NA,492,31,NA,NA,37305,4190,58382,5340062,37430,NA,NA,3886,3460,53336,NA,NA,NA,NA,NA,NA,2,13,820,501,109,157,132266,64552,58,102,532379,564672,NA,NA,17,90,53,14,63222,24979,86632,812,181,NA,NA,NA,NA,NA,NA,NA,NA,687,NA,NA,1694,NA,2,1011,529,178,408,775660,NA,192193,140,12,1308174
"Scaffold_157",32854,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,NA,NA,NA,NA,NA,NA,411,NA,NA,NA,760,NA,NA,NA,NA,NA,113,5410,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12785,176,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,217,NA,NA,3226,3741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,920,NA,NA,2904
"Scaffold_164",5743958,2490129,138657,1818,NA,NA,NA,44,NA,177,20,29,112,360,NA,80,250,4627,800,326,2,965,199,254,8162,2969,726,178,2986,NA,NA,NA,5246,4456,39104,655227,4372,159,NA,27,1406,NA,NA,70,NA,376,77,1352,3309,2421,935,1494,NA,NA,NA,NA,NA,NA,NA,NA,7966,2885,23922,1196604,11206,NA,NA,1227,708,9254,NA,NA,NA,NA,NA,NA,NA,NA,228,287,562,171,39802,20405,NA,NA,139497,155168,NA,NA,15,50,NA,NA,14265,9720,26995,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,195,294,422,205814,NA,47155,NA,NA,454188
"Scaffold_293",9976466,4970052,246478,4491,31,92,NA,NA,52,NA,369,NA,30,29,98,298,90,6295,1082,427,30,2515,791,335,4304,2243,215,173,4064,NA,NA,NA,5686,6105,52939,984580,8478,540,61,367,1124,NA,86,NA,NA,508,78,895,3766,806,808,1246,NA,NA,NA,NA,206,NA,NA,NA,18986,771,19886,2039476,9928,1,NA,1719,1948,17500,NA,NA,NA,NA,NA,NA,NA,NA,323,145,371,211,53035,28916,NA,NA,195421,246581,NA,NA,NA,NA,NA,NA,26788,11170,54286,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489,117,148,347,293973,NA,72691,79,NA,568095
"Scaffold_334",42206,1397,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,81,174,NA,45,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,114,4,343,5295,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,13234,23,NA,NA,NA,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697,NA,NA,NA,275,57,NA,NA,NA,NA,NA,NA,64,NA,84,9017,658,NA,NA,NA,NA,NA,680,NA,NA,572,NA,NA,215,NA,NA,NA,NA,NA,NA,5878,NA,201,NA,NA,1918
"Scaffold_258",408087,147578,8363,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,272,NA,NA,754,NA,NA,NA,1178,131,1103,34821,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,1410,63,NA,NA,NA,NA,NA,NA,1009,NA,128,127930,153,NA,NA,NA,NA,1093,NA,NA,NA,NA,NA,NA,2,3,17,6,NA,NA,4079,689,NA,NA,11871,12167,NA,NA,NA,NA,NA,NA,2515,192,1526,5508,611,NA,NA,141,NA,NA,190,NA,NA,2090,119,137,335,NA,NA,8,NA,NA,NA,23666,NA,947,NA,NA,14942
"Scaffold_234",295730,76835,2162,NA,NA,NA,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,475,602,NA,NA,2,102,NA,270,408,NA,NA,NA,NA,811,2538,28076,140,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,153,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,317,123650,537,NA,NA,NA,NA,911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2564,3364,NA,NA,10217,9889,NA,NA,NA,NA,NA,NA,210,252,1537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292,NA,5299,NA,NA,20502
"Scaffold_344",39990007,33707438,299885,2519,11,115,46,NA,NA,NA,559,NA,NA,109,77,98,427,6232,319,143,369,1706,803,1242,5243,8033,525,1045,5651,NA,NA,NA,6950,8510,61529,1044750,12837,1317,77,4,4134,NA,59,257,NA,544,451,460,12014,1307,54,3490,NA,NA,NA,NA,15,103,230,17,11006,1074,24201,1646088,25142,NA,NA,3361,3135,19990,NA,NA,NA,NA,NA,NA,NA,NA,323,522,853,278,52095,26697,NA,NA,177340,408047,347,478,63,NA,NA,59,52652,23360,54752,2567,NA,NA,NA,NA,NA,NA,123,NA,NA,6907,NA,NA,6880,1546,1444,2442,3342,942,510,1226814,NA,127414,3190,NA,872319
"Scaffold_81",136055,56872,962,NA,NA,NA,NA,NA,NA,NA,294,217,NA,NA,NA,NA,NA,209,2356,2388,NA,3136,NA,NA,1,1324,2500,752,3766,NA,NA,NA,NA,21,986,6767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,262,26583,4162,NA,NA,NA,NA,3032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064,802,NA,NA,1552,2002,NA,NA,NA,NA,NA,NA,315,127,2866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5179,NA,545,NA,NA,2987
"Scaffold_31",139088,46843,1656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,269,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,122,12985,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,48539,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688,205,NA,NA,2310,4228,NA,NA,NA,NA,NA,NA,550,1544,2756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6805,NA,132,NA,NA,7616
