"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-snRNA-Unknown","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-Simple","DNA-Simple-Unknown","DNA-snRNA","DNA-snRNA-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Satellite-tandem_repeat","LINE-LTR-Satellite-tandem_repeat-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-Satellite","LINE-Satellite-tandem_repeat","LINE-Satellite-tandem_repeat-Unknown","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-snRNA","LINE-snRNA-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Simple-tandem_repeat-Unknown","LTR-RC-Simple-Unknown","LTR-RC-snRNA-Unknown","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite","LTR-Satellite-tandem_repeat","LTR-Satellite-tandem_repeat-Unknown","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-snRNA","LTR-snRNA-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Satellite-tandem_repeat-Unknown","RC-Satellite-Unknown","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-snRNA","RC-snRNA-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-tRNA","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","snRNA","snRNA-tandem_repeat","snRNA-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"contig_158 NW_025335037.1",910981,40.662318972624,2.28830239049991,0.00109771773505704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0136116999147073,NA,NA,NA,0.00461041448723958,NA,NA,0.000439087094022817,0.134799737865005,NA,0.0050495015812624,0.00428109916672247,0.00976968784200768,NA,NA,NA,NA,0.118992602480183,0.028211345790966,0.553139966695244,10.4812284778717,0.0196491474575211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0661923794239397,0.0149289611967758,0.594743468853906,22.2953058296496,0.037871261859468,NA,NA,NA,0.00987945961551339,0.000329315320517113,0.0555445173938864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350501272803714,0.303409181969767,2.15218539135284,4.35442671142428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356538720346528,0.714394701975123,0.939317065888312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15567174287938,NA,0.870051076806212,NA,6.40320709213474
"contig_151 NW_025335030.1",676449,28.6531578877343,1.39271401096018,NA,NA,NA,NA,NA,0.0436100873827886,NA,NA,0.0150787420781168,NA,NA,NA,0.00783503264843322,0.0136004340312426,NA,NA,NA,NA,NA,0.00266095448437354,0.259738723835795,NA,0.0221746207031129,NA,0.00680021701562128,NA,NA,NA,NA,0.0359228855390429,0.0671151853280883,0.409934821398213,22.2727803574253,0.00946117149999483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0821939274062051,0.144874188593671,NA,NA,0.0774633416562076,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0220267898984255,0.0212876358749884,0.376672890343544,26.5087242349386,0.0610541223359041,NA,NA,NA,0.0159657269062413,0.00724370942968354,0.0365142087577925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291078854429528,0.278069743617035,3.3535418043341,2.35553604188934,NA,NA,NA,NA,NA,NA,NA,NA,0.0212876358749884,0.00546973977343451,0.248207921070177,0.289157053968592,1.69458451413189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00916550989061999,NA,0.0100524947187445,1.57971997888976,NA,0.803016931062061,NA,8.49450586814379
"contig_2 NW_025335083.1",27004956,91.5411230442294,0.406403180216254,0.0134641952388295,NA,NA,NA,0.000429550783196981,0.00285503149866269,NA,NA,0.000399926591252361,NA,NA,0.00119607674976401,0.00428439875999057,0.00212923879601952,0.000648029198788548,NA,0.000470284047120832,NA,0.000551750574968535,0.000299944943439271,0.0402333556847862,NA,0.00286614057064192,0.00185151199653871,0.00705426070681248,9.25755998269355e-05,NA,NA,NA,0.00907611180703275,0.0103203278687068,0.103058860751338,0.459808192244416,0.00102203462208937,0.000422144735210826,0.00012960583975771,0.00128865234959094,0.000610998958857774,NA,NA,4.07332639238516e-05,0.000414738687224671,0.000607295934864697,4.07332639238516e-05,3.70302399307742e-05,0.000240696559550032,0.00513609427839838,0.0194038457237257,0.00379559959290435,0.00312535225015734,0.00427328968801134,NA,NA,NA,3.70302399307742e-06,NA,NA,NA,NA,NA,0.0101462857410321,0.00584337186107617,0.0408036213797201,0.739571654921415,0.0167376684487099,0.000144417935730019,0.000422144735210826,3.70302399307742e-06,0.00492502191079297,0.00650251013184395,0.00927977812665201,NA,NA,NA,NA,0.0002295874875708,0.000714683630663942,0.000581374766913155,5.18423359030839e-05,NA,0.000151823983716174,0.032479223443282,0.0110905568592669,0.276171529403714,0.588306827828196,0.00249954119532726,0.00155527007709252,NA,0.000251805631529265,0.000977598334172439,0.00113312534188169,0.00119237372577093,0.000288835871460039,7.40604798615484e-05,0.0019848208602895,0.126810056642936,0.0719053198975773,0.104610427804437,0.0032142248259912,0.0130605656235841,0.000585077790906232,NA,0.00615442587649467,0.00791336227320644,0.0044769560076306,0.000166636079688484,0.000722089678650097,0.00254768050723726,NA,0.000603592910871619,3.56604543254949,8.88725758338581e-05,0.418908292240876,0.00297723129043424,1.2658861580815
"contig_172 NW_025335053.1",516722,49.6837758020754,0.580389455064812,NA,NA,NA,NA,NA,NA,NA,NA,0.00154822128726859,NA,NA,NA,0.000387055321817147,NA,NA,NA,NA,NA,NA,NA,0.0530265790889492,0.000387055321817147,0.00116116596545144,NA,NA,NA,NA,NA,NA,0.00928932772361154,0.00425760853998862,0.113407209292424,15.2356586326884,0.0822492558861438,NA,NA,NA,0.0282550384926518,NA,NA,NA,NA,NA,NA,NA,NA,0.0760563707370694,NA,NA,0.00212880426999431,0.0230297916481203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454790003135148,NA,0.222943865366677,18.066581256459,0.0346414513026347,NA,NA,NA,NA,NA,0.0766369537197952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489624982098691,0.280034525334706,2.41270934854719,1.77000398666981,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0197398214126745,0.0425760853998862,0.590065838110241,0.414923304987982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52200990087513,NA,0.965122444951057,NA,5.15189986104714
"contig_156 NW_025335035.1",943787,30.4344094589139,3.37427830643991,0.00190720999547567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00773479609276246,NA,NA,NA,0.000423824443439039,NA,NA,0.0010595611085976,0.353575541939018,NA,0.0169529777375615,NA,0.0506470209909651,NA,NA,NA,NA,0.051600625988703,0.0305153599276108,0.558070835898354,13.9626843768774,0.125557991368815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0501172404366663,0.00466206887782943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178006266244396,0.00243699054977447,0.438022562294246,28.6651543197777,0.018966143843897,NA,NA,NA,NA,NA,0.0496934159932273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38366707742319,0.50276174602956,2.83061750161848,7.94840361225573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261817549934466,0.0155755482963847,0.586043249165331,NA,NA,NA,NA,NA,0.00487398109954894,0.0145159871877871,NA,NA,NA,NA,NA,2.13533350215674,NA,0.886534779563609,NA,6.21358420914889
"contig_150 NW_025335029.1",2860005,92.0872166307402,0.428495754378052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0267831699594931,NA,NA,NA,NA,NA,NA,NA,0.0212936690670121,NA,0.00181817863954783,NA,NA,NA,NA,NA,NA,0.0178671016309412,0.00286712785467158,0.0474474694974309,0.221223389469599,0.00426572680816992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00891606832855187,NA,NA,0.00499999125875654,0.000349649738374583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101398424128629,NA,0.00475523644189433,0.374369974877666,0.0145454291163827,NA,NA,NA,0.0109440368111245,NA,0.00559439581399333,NA,NA,NA,NA,NA,0.00286712785467158,NA,NA,NA,NA,0.0479020141573179,0.000349649738374583,0.0131817951367218,0.309614843330694,NA,NA,NA,NA,0.00129370403198596,0.000804194398261542,NA,NA,NA,NA,0.06080408950334,0.0232866725757472,0.0466782400730069,0.00157342382268562,NA,NA,NA,NA,0.0203496147734007,0.0106643170204248,NA,NA,NA,NA,NA,2.79132379139197,NA,1.11199106295269,NA,2.2725484745656
"contig_223 NW_025335110.1",124915,48.2632189889125,3.29424008325661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00880598807188888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00720489933154545,NA,0.178521394548293,11.4285714285714,0.0800544370171717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0840571588680303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274586718968899,NA,0.83016451186807,18.5189929151823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0616419165032222,1.04631149181443,4.82087819717408,0.183324660769323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.041948524997,NA,0.941440179321939,NA,5.93603650482328
"contig_69 NW_025335166.1",2339075,82.8068360356124,2.46511975887904,0.00598527195579449,NA,NA,NA,NA,0.0305676389170933,NA,NA,0.00290713209281447,0.000342015540331114,0.00205209324198668,0.0241975994784263,0.00722507828949478,NA,NA,NA,0.0027788762651903,NA,NA,0.000384767482872503,0.117482338103738,NA,0.00530124087513226,0.00111155050607612,0.0083366287955709,NA,NA,NA,NA,0.0704552013082094,0.00525848893259087,0.245438902130116,1.94222074965531,0.0011970543911589,NA,NA,NA,0.00175282964419696,NA,NA,NA,NA,NA,NA,NA,NA,0.0101322103823092,0.0306958947447175,0.00808011714032256,0.000470271367955281,0.0386050041148745,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0206919401900324,0.00893515599115035,0.46868954608125,2.51650759381379,0.0315509335955452,NA,NA,NA,0.00876414822098479,0.00748158994474311,0.0226157776043949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0509175635667946,0.0828105127026709,0.357192479933307,1.45908104699507,NA,NA,NA,NA,NA,NA,0.000983294678451952,0.0015818218740314,NA,0.00307813986298002,0.330087748362066,0.11017175592916,0.232442311597533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132531021878307,3.64289302395178,NA,0.37728589292776,0.00282162820773169,2.42715603390229
"contig_154 NW_025335033.1",1001701,31.5728945064445,3.79155057247622,0.0696814718164402,NA,NA,NA,NA,0.0594987925538659,NA,NA,0.00529100000898472,NA,NA,0.00738743397480885,0.010781660395667,0.00379354717625319,NA,NA,0.00389337736510196,NA,NA,0.0177697736150807,0.343715340206309,NA,0.0467205283812235,0.00788658491905269,0.114405396420688,NA,NA,NA,NA,0.265548302337724,0.0860536227876382,0.664170246410855,16.3222358767736,0.0751721322031225,0.000499150944243841,NA,NA,0.00379354717625319,NA,NA,NA,NA,NA,0.000998301888487682,NA,0.00379354717625319,0.0441249434711556,0.025856018911831,0.0299490566546305,0.0179694339927783,0.0331436226977911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197364283354015,0.167015905943989,0.59648537837139,24.0340181351521,0.343316019450914,NA,NA,NA,0.0527103397121496,0.0505140755574767,0.350503793048025,NA,NA,NA,NA,NA,NA,NA,0.012079452850701,NA,NA,0.686632038901828,0.489667076303208,3.17120577896997,2.72955702350302,NA,NA,NA,NA,0.00598981133092609,NA,NA,NA,NA,NA,0.292302792949193,1.03034737910814,1.45592347417044,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.98301888487682e-05,NA,0.0109813207733645,1.94758715425062,NA,0.764399756015018,NA,7.98272139091405
"contig_152 NW_025335031.1",1122563,16.3711969840445,0.508479256843491,0.00970992273930283,NA,NA,NA,NA,0.0232503654583306,NA,NA,0.0182617812986888,NA,NA,0.0174600445587464,0.000178163719987208,0.0126496241190918,0.00391960183971857,NA,NA,NA,NA,0.00890818599936039,0.270363445080588,NA,0.0131841152790534,0.00276153765980172,0.0067702213595139,NA,NA,NA,NA,0.0236957747582986,0.0309114054177806,0.227693234143652,12.1488059022077,0.0715327335748639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0399086732771346,0.00293970137978893,NA,0.0556761624960024,0.00204888277985289,NA,NA,NA,NA,NA,NA,NA,NA,0.485407055105148,0.351873346974735,0.137631473690118,8.28300950592528,0.0648515940753436,NA,NA,NA,0.0365235625973776,0.0162128985188359,0.000623573019955227,NA,0.260742604201279,0.151795489429101,NA,NA,NA,NA,NA,NA,NA,0.904091797075086,0.742942712346657,0.550347731040485,2.59486549975369,NA,0.00516674787962903,NA,NA,0.0067702213595139,0.00267245579980812,NA,NA,NA,NA,0.245331442422385,0.546071801760792,0.398908569051358,0.195089273385993,2.35024671221125,0.364255725513846,NA,0.0315349784377358,0.0101553320392708,0.008997267859354,NA,NA,0.000534491159961624,NA,0.018885354318644,41.1578681998249,NA,7.78495282670104,NA,2.42133403648615
