"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-tandem_repeat","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-Simple","DNA-RC-Simple-tandem_repeat","DNA-RC-Simple-tandem_repeat-Unknown","DNA-RC-Simple-Unknown","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-rRNA","DNA-Satellite-tandem_repeat","DNA-Simple-tandem_repeat","DNA-Simple-tandem_repeat-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-Simple-Unknown","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-Satellite","LINE-Satellite-tandem_repeat","LINE-Satellite-tandem_repeat-Unknown","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Satellite","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-Simple-tandem_repeat-Unknown","LTR-RC-Simple-Unknown","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-Satellite","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Satellite-tandem_repeat-Unknown","RC-Satellite-Unknown","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-tandem_repeat","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-tRNA","Satellite-tRNA-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","snRNA","snRNA-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"contig_170",14004682,12502956,124605,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,491,1193,283,19,NA,109,15,NA,35,2462,85,44,43,44,422,217,712,NA,NA,NA,NA,1617,613,14907,185240,3949,234,NA,274,190,NA,NA,NA,NA,130,131,929,2161,NA,109,5,1015,878,NA,NA,NA,NA,NA,NA,NA,3596,870,7551,267904,6403,NA,18,NA,NA,51,3120,857,2464,57,NA,2,72,NA,NA,14496,4664,32580,100299,54,NA,NA,12,213,52,NA,238,23226,4219,16205,4701,179,1350,298,1842,783,41,226,88,611,1111,672,510,309,NA,NA,372471,NA,25839,285,257858
"contig_276",2528967,1200549,80492,58,39,NA,NA,NA,NA,53,NA,NA,141,NA,NA,NA,477,1012,119,NA,NA,9,NA,5,410,1169,NA,NA,NA,53,137,32,321,NA,NA,NA,NA,2550,913,14040,190517,4615,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,619,347,NA,NA,79,627,NA,NA,NA,NA,42,NA,NA,NA,1794,83,4153,517879,3440,NA,NA,NA,NA,NA,102,NA,1194,NA,NA,NA,NA,66,77,12389,3092,42669,59789,NA,NA,NA,NA,73,NA,NA,51,11281,2394,8854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,27,NA,79,NA,NA,190601,NA,24503,NA,144667
"contig_57",157065,5812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,151,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,84,NA,1221,NA,NA,NA,NA,NA,NA,NA,NA,1471,272,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119861,NA,18267,NA,238
"contig_33",319442,18491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5597,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6541,100,NA,NA,NA,NA,NA,899,164,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1393,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,273435,NA,11071,NA,654
"contig_314",625333,307141,14380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,104,NA,NA,NA,NA,75,66,NA,NA,NA,NA,NA,143,NA,1363,47311,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,1240,140949,475,NA,NA,NA,NA,NA,NA,54,905,NA,NA,NA,NA,NA,NA,3857,1382,19231,28856,NA,NA,NA,NA,18,NA,21,83,4460,150,3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15344,NA,2484,NA,30413
"contig_175",676427,272335,24236,2748,NA,NA,NA,NA,NA,NA,8,NA,296,2038,NA,NA,72,21,61,NA,NA,26,NA,NA,126,293,NA,NA,NA,NA,29,7,81,NA,NA,NA,NA,358,NA,1666,77940,2635,NA,NA,NA,NA,39,NA,NA,NA,247,NA,NA,13968,NA,1241,2717,776,NA,NA,NA,NA,NA,NA,NA,NA,396,NA,1020,158797,587,NA,NA,NA,NA,NA,216,NA,191,NA,NA,27,NA,NA,NA,5117,3535,24727,8756,NA,NA,NA,NA,NA,NA,NA,NA,495,327,2254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,17558,NA,2293,NA,46099
"contig_207",2199585,781261,70542,1115,40,NA,NA,NA,NA,NA,NA,NA,NA,156,77,NA,105,5122,73,NA,NA,38,78,NA,377,1032,NA,NA,43,65,67,69,311,NA,NA,NA,NA,1524,412,8186,276785,5700,149,NA,14,274,NA,NA,NA,NA,303,NA,626,2516,NA,256,360,786,NA,NA,NA,NA,NA,NA,NA,NA,7321,271,4474,576781,3523,NA,NA,NA,NA,NA,875,1362,3576,NA,NA,64,36,60,31,17211,9801,76708,50293,NA,NA,NA,NA,74,32,57,77,6701,2078,11237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,74,NA,157,NA,NA,76409,NA,23204,NA,168481
"contig_308",4635390,2452033,135362,1117,NA,NA,NA,NA,NA,160,NA,NA,NA,50,42,NA,624,1007,219,28,NA,39,11,39,1150,2547,62,44,NA,NA,106,43,513,NA,NA,NA,NA,5359,1614,14519,426710,9769,NA,NA,NA,NA,NA,NA,NA,NA,568,279,1718,817,NA,NA,25,796,NA,NA,NA,NA,56,23,NA,NA,6123,240,8399,749447,9131,NA,NA,NA,NA,NA,1341,341,4097,NA,NA,87,29,NA,55,26109,9990,87231,130043,NA,NA,NA,NA,327,22,6,268,10731,8341,19743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,102,183,266,70,61,214430,NA,25045,NA,265181
"contig_180",13593,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4675,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649,878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1429,NA,586,NA,90
"contig_286",811149,345146,46077,580,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,14,253,546,12,NA,NA,154,NA,NA,358,87,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,2137,186,5734,114648,1839,NA,NA,273,192,NA,NA,NA,NA,218,160,551,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,272,6775,163627,1248,NA,NA,NA,NA,NA,77,484,1659,NA,NA,NA,NA,NA,NA,8536,2362,19158,5986,NA,NA,NA,NA,18,NA,NA,51,1757,271,1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,51,NA,NA,30998,NA,5025,NA,41435
