"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-tandem_repeat","DNA-LINE-LTR-Satellite","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-rRNA","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-Satellite","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-Unknown","DNA-rRNA","DNA-Satellite","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-Unknown","LINE-LTR-rRNA","LINE-LTR-Satellite","LINE-LTR-Satellite-tandem_repeat","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-Satellite","LINE-rRNA-Satellite-tandem_repeat","LINE-rRNA-Satellite-tandem_repeat-Unknown","LINE-rRNA-Satellite-Unknown","LINE-rRNA-tandem_repeat","LINE-rRNA-tandem_repeat-Unknown","LINE-rRNA-Unknown","LINE-Satellite","LINE-Satellite-tandem_repeat","LINE-Satellite-tandem_repeat-Unknown","LINE-Satellite-Unknown","LINE-Simple","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-tandem_repeat","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-Unknown","RC","RC-Satellite","RC-tandem_repeat","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-tandem_repeat","rRNA-Satellite-Unknown","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"NT_033777.3 chr3R",32079331,86.4536077762968,0.64779094052803,0.0233857744726659,0.00640287666846918,0.00114403882051032,NA,NA,0.000168332687486531,NA,0.00257486666414583,0.000601633494164825,NA,NA,0.000130925423600636,0.000162098143505549,0.00284606932731858,0.10335315284474,0.00465720435379404,NA,NA,NA,0.00155863599524566,0.000383424454830433,0.0258172466252491,0.00530247965582574,NA,NA,NA,NA,0.00989110402582897,0.00030549265506815,0.0065743266279462,2.69062655951273,0.268200730245902,0.00204181315377182,0.00025873357521078,NA,NA,NA,NA,0.0151250036978639,0.0012936678760539,0.0205116496974329,0.00677383203533764,0.000813607989518235,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35181597147397e-06,NA,NA,NA,NA,0.0365874213523967,0.00227560855305867,0.013825101277829,6.66446254755126,0.0281333797141842,0.000433300806678294,NA,NA,NA,0.00107545883671951,0.0115401409087989,NA,NA,NA,NA,0.204658257991727,0.0105987247676705,NA,0.0821089442295414,0.105722279557513,NA,0.00273696480765138,0.000205739951372427,0.000261850847201271,NA,NA,NA,NA,NA,NA,0.0129927896563678,0.0562792285163303,0.011147364637997,0.0166119424373283,0.00680500475524256,0.00139653785174011,0.000143394511562601,0.000963237045061819,1.95519975151602,NA,0.0342401155435567,0.00552692323914112,0.43175463977101
"NC_024512.1 chrY",3667352,27.7514948115152,5.0012652180647,0.379456348886063,0.0507450607413742,NA,NA,NA,NA,0.00357205962231059,0.0813120747612992,NA,NA,NA,0.00201780467214492,0.00640789321559534,0.00858930367196822,0.591189501307756,0.00234501624060085,NA,NA,NA,0.0262587283685886,0.0474184097954055,0.438872516191519,0.0041992151285178,NA,NA,NA,NA,0.0650605668613212,0.0197144969994699,0.890833495121276,12.0973934326457,2.23908149531324,NA,NA,0.00610794927784407,NA,NA,NA,0.0828117944500555,0.0102798967756572,0.692734158051913,0.0276766451652309,NA,0.0394835292603492,0.0011179728588911,NA,NA,NA,NA,NA,NA,NA,0.0136610829830352,NA,0.00959820600804068,0.21961349769534,NA,0.591980262598191,0.0233410918831898,1.16912693409305,41.774991874246,0.0792670024584496,NA,0.0091619239167661,NA,NA,0.0126794482776674,NA,NA,NA,NA,NA,1.22224427870573,0.0882380529602831,NA,1.07674420126565,0.330947233862471,NA,0.00665330189193729,0.190191724165011,NA,NA,NA,NA,NA,NA,NA,0.00575347007868348,NA,0.0151335350410869,0.218768201143495,NA,NA,NA,NA,0.892196876656509,NA,0.0958184542961788,NA,1.38644995080919
"NC_004354.4 chrX",23542271,88.1019295037424,0.464797979770091,0.0437256031926572,0.0111628992801926,0.00494854553326652,0.000726353035355,NA,NA,NA,0.00468518946196822,0.00251462571304187,0.000369548035531491,NA,0.000556445892581901,0.000297337499852924,0.00129554196364488,0.0795590196035038,0.00413723892652497,NA,8.49535713865497e-06,NA,0.000348309642684854,0.0212214021323601,0.0171266399915284,0.00220454517748097,NA,NA,NA,4.24767856932749e-06,0.0236765603454314,0.0178784790982994,0.0483555728332241,2.31492535278351,0.16169213242002,0.00795590196035038,NA,NA,NA,NA,NA,0.00522889231884214,0.00146969678498731,0.0233537367741625,0.0330384439122292,0.00343212428401661,NA,0.0049145641047119,1.27430357079825e-05,NA,NA,NA,0.00696619285369708,0.000764582142478948,4.24767856932749e-06,0.0092556916025646,0.00256135017730447,NA,0.00275249571292421,NA,0.0567999578290472,0.000552198214012573,0.021816077132066,3.98277209535138,0.0353364380182354,0.00473616160480015,NA,0.000174154821342427,2.54860714159649e-05,0.000488483035472661,NA,NA,0.000225126964174357,0.000199640892758392,0.000144421071357135,0.111204224944994,0.00533933196164465,NA,0.071675328178832,0.167269334381547,NA,0.0137497355289131,0.000696619285369708,0.0958531145954441,0.00219604982034231,0.000237869999882339,NA,0.000892012499558772,NA,0.0245006099878809,0.0786372733539598,0.113570181908109,0.0078029855318546,0.00558144964009632,0.0137709739217597,0.00454926374774974,0.000242117678451667,0.000573436606859211,3.05684188241653,NA,0.160710918670505,0.00200065660615325,0.52897615527406
"NW_001845132.1 chrX 211000022279705 ",4515,0.0221483942414175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.0952380952381,1.57253599114064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.908084163898117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55038759689922,NA,NA,12.8017718715393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41085271317829,NA,NA,1.63898117386489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NT_033778.4 chr2R",25286936,81.0198633792564,0.912392074706085,0.0703841699128752,0.0193301394838821,0.0153834375188833,0.000664374679478763,NA,0.00443707375223317,0.000688102346603005,0.00679402201990783,0.024103355187042,0.00546922727213768,NA,0.00559577483013363,NA,0.00272077249691303,0.183110361808959,0.00837191188366989,NA,NA,NA,0.00162534519801055,NA,0.026420757342843,0.0190493620895786,0.00419584246980338,NA,NA,NA,0.336387136820372,0.000395461118737359,0.00985489107893499,4.01419135952256,0.297446080458305,0.00914306106520774,0.000826513738161081,NA,NA,NA,3.55915006863623e-05,0.0176850212299347,0.0132044467546404,0.0676594428047748,0.0280579663744156,0.00111520035483935,NA,0.000130502169183328,NA,NA,NA,NA,NA,NA,NA,7.90922237474718e-06,NA,NA,NA,0.000276822783116151,0.042860076048755,0.00126943019114692,0.0351485842333765,9.7389418789212,0.0705344451379954,0.00187844031400246,NA,NA,NA,0.000577373233356544,0.00869619000103453,NA,NA,NA,NA,0.226444991200199,0.036244011532279,NA,0.180966962545403,0.285855115068113,NA,0.0104204004787294,0.00329023650789483,NA,NA,NA,NA,0.0759403986311351,NA,NA,0.00366592457069532,0.0154941666321297,NA,NA,0.00770358259300376,0.00166093669869691,0.000371733451613118,0.00114288263315097,1.58031008580874,NA,0.0653143583706622,0.0162653158136676,0.461985588131358
"NW_007931076.1 chr3CEN 3Cen_mapped_Scaffold_1_D1896_D1895 ",76224,7.97780226700252,8.26380142737196,0.00524769101595298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423751049538203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0892107472712007,0.262384550797649,1.3617758186398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388329135180521,74.9330919395466,NA,NA,NA,NA,NA,0.261072628043661,NA,NA,NA,NA,NA,2.08202141057934,0.935400923593619,NA,2.32735096557515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0787153652392947,NA,0.0826511335012594,NA,0.527392947103275
"NT_037436.4 chr3L",28110227,84.142241185032,0.787691967055264,0.044403768066334,0.00482030970436489,0.00479896515954852,NA,NA,NA,0.000234789992980135,0.00927064729857927,0.00188899221624927,0.000270364234340761,NA,0.000444678017007831,9.24930275376289e-05,0.00597647254858525,0.107569391026262,0.00866232777131255,0.000305938475701388,7.1148482721253e-06,NA,0.00069725513066828,0.000519383923865147,0.0450120875936007,0.0152933663609333,0.00302381051565325,3.55742413606265e-05,NA,NA,0.0252043500040039,0.000231232568844072,0.0187333955005059,3.38694169919012,0.251712659595385,0.00828168338875385,0.000860896640927161,1.42296965442506e-05,NA,3.55742413606265e-05,NA,0.0108572584632632,0.000462465137688145,0.0484023127952684,0.00904652957800732,0.0012664429924383,NA,6.75910585851904e-05,NA,NA,NA,NA,NA,NA,NA,0.00018854347921132,NA,1.0672272408188e-05,NA,NA,0.0300566765255933,0.000594089830722463,0.0252328093970924,8.06695726790111,0.0503695683425111,0.000775518461661658,2.13445448163759e-05,NA,NA,0.0158803413433837,NA,0.000725714523756781,NA,NA,NA,0.195953593686739,0.00719311160311868,6.40336344491277e-05,0.174253306456757,0.219197802991772,7.1148482721253e-06,0.0137209848927936,0.00183918827834439,2.84593930885012e-05,NA,NA,NA,NA,NA,NA,0.0165704816257798,0.213107492870833,0.0597149215479477,0.00242260583665867,0.00473493152509939,0.00270364234340761,0.000309495899837451,0.000853781792655036,1.49156746404076,NA,0.025663257717556,0.00289218582261894,0.431010393477079
"NT_033779.5 chr2L",23513712,90.993025686459,0.556773001217332,0.0309521525142436,0.000616661461193367,0.00525650735196553,0.000289192961111372,NA,NA,3.82755389706228e-05,0.000327468500081995,0.00112274914313827,0.000978152662582582,NA,2.55170259804152e-05,NA,0.0016883765523708,0.0854224973071032,0.00628144122884554,8.93095909314531e-05,NA,9.35624285948556e-05,0.00513742789739025,0.000123332292238673,0.0104151994376728,0.00356387796193132,NA,NA,NA,8.50567532680506e-06,0.0337802895604063,0.000110573779248466,0.00473340831936701,1.27695278397558,0.073016969842958,0.00557972301438412,0.000327468500081995,NA,NA,NA,NA,0.00106746225351403,0.00149274601985429,0.0186359346410299,0.00780395711234364,0.000693212539134612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013745171328117,0.00182872019526309,0.0111339290027878,3.92447606741122,0.0381777237043645,0.000148849318219089,NA,NA,NA,0.0102365802558099,NA,8.93095909314531e-05,0.000259423097467554,NA,NA,0.371825596911283,0.001679870877044,NA,0.0449014600502039,0.173209572355058,NA,0.00300675622802559,0.000480570655964486,NA,NA,NA,NA,NA,NA,NA,0.0128988566330999,0.0233991128240407,NA,0.00493754452721034,0.00833130898260555,0.00324066229951273,0.000178619181862906,0.000323215662418592,1.29586940590239,4.25283766340253e-06,0.0465728252519211,0.00236883057851521,0.880252339571055
"NW_007931098.1 Unmapped_Scaffold_48_D1678 ",26115,32.3760291020486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168485544706108,1.91077924564427,NA,NA,NA,NA,NA,NA,0.773501818878039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00765843385027762,NA,NA,56.8677005552365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18705724679303,0.765843385027762,NA,3.65307294658242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28987172123301,NA,NA,NA,NA
"NW_001845026.1 211000022279892 ",13553,57.5370766619937,0.450084852062274,1.4683095993507,0.391057330480336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2260754076588,1.23219951302295,NA,NA,NA,NA,NA,NA,NA,NA,3.97697926658304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0516490813841954,NA,NA,13.3254629971224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77820408765587,2.38323618387073,NA,4.30900907548144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.870655943333579,NA,NA,NA,NA
