"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC-Unknown","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-Simple-tandem_repeat","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_344",39990007,92.5348375157824,0.294293521879103,0.00480870133381072,1.25031235928516e-05,NA,NA,NA,NA,7.00174921199689e-05,9.00224898685314e-05,0.000277569343761305,2.00049977485625e-05,5.00124943714063e-06,NA,NA,5.25131190899766e-05,0.00193548353217343,0.00620404992677296,0.000375093707785548,0.000575143685271173,0.00183795916814918,0.0061415343088087,0.00200300039957482,0.0263615857831683,0.855013603773563,0.00641660302785143,NA,0.000215053725797047,NA,NA,0.000835208656002486,0.000277569343761305,NA,NA,NA,NA,NA,0.0057539374774303,1.75043730299922e-05,0.00611152681218585,1.29786924018293,0.000900224898685314,0.000110027487617094,NA,0.0011627904941352,NA,NA,8.25206157128205e-05,0.00047011744709122,0.000572643060552602,5.25131190899766e-05,0.0379694857267717,0.0121705405052817,NA,NA,0.0555388749994467,0.272830659919614,0.0237484329522623,0.0219954950245445,0.020217550849641,0.00563890874037606,0.000307576840384149,NA,0.00797449222752074,0.0022155535006533,NA,0.000490122444839782,0.00336334024647708,0.00227056724446185,0.000587646808864025,0.000105026238179953,3.72972927961728,NA,0.0656413988624708,0.00349337273184273,NA,0.677949368701036
"Scaffold_293",9976466,80.4277687108842,0.906723883988579,0.0384404657921954,NA,NA,6.01415370933956e-05,NA,NA,NA,NA,0.00194457636601979,5.01179475778297e-05,NA,NA,NA,NA,0.00382901119494619,0.0136721760992319,NA,NA,0.0068862059971938,0.0182228857392989,0.0105247689913442,0.104536015057837,3.41260121570103,0.0193555513545578,NA,NA,NA,NA,0.00101238254107216,0.00133313740557027,8.01887161245275e-05,NA,NA,0.000210495379826885,NA,0.100857357705624,NA,0.0184434047086413,6.56999181874624,0.00654540395366455,0.000461085117716033,NA,0.0463591015094924,NA,NA,0.00112264202574338,0.00086202869833867,NA,0.000150353842733489,0.172155149929845,0.0539068644147136,NA,NA,0.263369814521495,0.767115329215776,0.0511804480664797,0.0549392941348169,0.1029021699668,0.00202476508214432,NA,NA,NA,NA,NA,NA,0.00694634753428719,0.00438030861830231,NA,NA,4.62707936858603,NA,0.194186999685059,0.000791863571729709,NA,1.98697614967063
"Scaffold_414",22190323,77.5735305880856,0.71667726513039,0.0504003479354492,3.60517510267877e-05,0.000108155253080363,NA,NA,NA,0.000148713472985499,NA,0.00067146386287392,0.000112661721958711,NA,NA,1.35194066350454e-05,0.000288414008214301,0.00484896051310294,0.00716528551657405,0.00191074280441975,0.000450646887834846,0.0105586565819704,0.0303690937711903,0.00663352218892893,0.0857806350993629,3.43721900758272,0.0271559814609278,0.000162232879620545,NA,NA,NA,0.00213155977945882,0.00341590340978813,0.000365023979146225,NA,NA,1.35194066350454e-05,NA,0.0501209468649916,0.00162683526508379,0.030378106708947,8.2442738665859,0.0157501087298279,0.00228477972132267,0.00521849096112752,0.0649652553502714,NA,NA,0.000324465759241089,0.00191074280441975,NA,NA,0.204994762807193,0.042419391551894,0.000202791099525681,0.000459659825591543,0.380976878975579,0.755230106384661,0.0518649503209124,0.062968889637163,0.108921352789682,0.00620540764548583,NA,NA,NA,NA,NA,NA,0.00565111197344897,0.00149614766761169,NA,NA,5.53439893596862,NA,0.233574788433679,0.000689489738387314,5.40776265401815e-05,2.23286970631297
"Scaffold_164",5743958,78.8051897315405,0.953175493274846,0.0216401303769979,NA,NA,NA,NA,NA,NA,NA,0.00081825110838206,NA,NA,0.000678974323976603,NA,NA,NA,0.0114032867231968,0.000104457588304093,5.22287941520464e-05,0.00215879015828458,0.0108809987816763,0.0224932006814813,0.138040702943859,3.48216334450913,0.0164694797559453,NA,NA,NA,NA,0.00264625890370368,0.000870479902534106,0.000226324774658868,NA,NA,NA,NA,0.070543691301364,0.00177577900116958,0.0215356727886938,6.19504877995278,0.0141888224113059,0.000783431912280696,NA,0.0571034816062374,NA,NA,NA,0.00081825110838206,NA,NA,0.293020944791031,0.0733814557836251,NA,NA,0.296607321989471,0.586842731092393,0.0661390629945414,0.049182114493177,0.0997047680362565,NA,NA,NA,NA,NA,NA,NA,0.0045787242873294,0.00830437827017537,NA,NA,5.51576108321126,NA,0.27157231999259,NA,NA,2.90409505083429
"Scaffold_280",3960505,84.5232363044612,0.946293465101041,0.0129023950228569,NA,NA,NA,NA,NA,NA,0.000100997221313949,0.000201994442627897,2.52493053284871e-05,NA,NA,NA,NA,0.00113621873978192,0.0138618686253394,7.57479159854614e-05,2.52493053284871e-05,5.04986106569743e-05,0.0350207864906117,0.0159575609676039,0.110541458728117,3.4206496393768,0.0223456352157111,NA,NA,NA,NA,0.00383789440993005,NA,0.000959473602482512,NA,NA,NA,NA,0.0174977685926416,NA,0.0205024359267316,2.69271216675651,0.00361065066197366,0.000555484717226717,NA,0.0134831290454121,NA,NA,NA,NA,NA,NA,0.0953918755310245,0.0243655796419901,NA,NA,0.125766789841194,0.689508029910327,0.101552706031175,0.0642847313663283,0.0377729607714168,NA,NA,NA,0.00605983327883692,NA,NA,NA,NA,NA,NA,NA,4.90152139689257,NA,0.139174170970621,NA,NA,1.95901785252133
"Scaffold_278",431038,73.0722117307523,0.0663514585720981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552155494411166,1.65762647376797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177478551775018,NA,0.0405996687067034,13.1494207007271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234086089857507,0.0626394888617709,NA,NA,0.834961186716716,0.138502869816582,0.0097439204896088,NA,0.0313197444308854,NA,NA,NA,NA,NA,NA,NA,0.010903911024086,NA,NA,NA,6.253044975153,NA,0.907576594174992,NA,NA,3.29831708573258
"Scaffold_380",232162,46.0587865369871,0.315727810752836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0073224731006797,0.0572875836700235,0.121466906728922,5.10720962086819,0.000430733711804688,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00559953825346095,NA,NA,NA,0.000861467423609376,21.3320870771272,0.0620256544998751,0.00947614165970314,NA,0.00129220113541406,NA,NA,NA,NA,NA,NA,1.39902309594163,0.521187791283673,NA,NA,1.62688122948631,8.98725889680482,0.326065419836149,0.0396275014860313,0.536263471196837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04147104177255,NA,0.64868496997786,NA,NA,6.79396283629535
"Scaffold_394",63570,62.6427560169891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234387289602014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5817209375492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18247601069687,0.138430077080384,NA,NA,0.838445807770961,0.976875884851345,0.125845524618531,NA,0.813276702847255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08510303602328,NA,1.78700644958314,NA,NA,8.59367626238792
"Scaffold_103",273970,75.8813008723583,0.141621345402781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00843158010001,0.00182501733766471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.30277037631858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0846808044676425,0.0514654889221448,NA,NA,0.259517465415921,0.425229039675877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23473372997043,NA,0.087235828740373,NA,NA,3.52118845129029
"Scaffold_127",330409,77.5444978799004,0.657669736599185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181593116410267,0.0898885926230823,0.0175540012529925,4.28832144402846,0.0929151445632534,NA,NA,NA,NA,0.0142247941188043,NA,NA,NA,NA,NA,NA,NA,NA,0.0441876583264984,7.99372898437997,0.000302655194017112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0572018316692342,0.0111982421786331,NA,NA,0.107442593876075,0.177355943694028,0.0266336570735059,NA,0.00938231101453047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45321404683286,NA,0.213977222170098,NA,NA,2.18214394886338
