"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-RC","DNA-LINE-LTR-RC-Unknown","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-tandem_repeat-Unknown","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-Satellite-tandem_repeat","DNA-Simple","DNA-Simple-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-Simple","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-rRNA-tandem_repeat","LINE-rRNA-Unknown","LINE-Satellite","LINE-Simple","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-Simple-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-Simple","LTR-RC-Simple-tandem_repeat","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-rRNA","LTR-rRNA-Satellite","LTR-rRNA-Satellite-Simple","LTR-rRNA-Satellite-tandem_repeat","LTR-rRNA-Simple","LTR-rRNA-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-Satellite","RC-Satellite-tandem_repeat","RC-Simple","RC-Simple-tandem_repeat","RC-Simple-tandem_repeat-Unknown","RC-Simple-Unknown","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-Satellite","rRNA-Satellite-Simple","rRNA-Satellite-Simple-tandem_repeat","rRNA-Satellite-tandem_repeat","rRNA-Simple","rRNA-Simple-tandem_repeat","rRNA-tandem_repeat","rRNA-tandem_repeat-Unknown","rRNA-Unknown","Satellite","Satellite-Simple","Satellite-Simple-tandem_repeat","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_285",965532,41.3955208113247,1.7963153991789,0.00341780489926797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016571175269178,NA,NA,0.266899491679199,0.00155354768148544,NA,NA,NA,0.0314852330114383,NA,0.000517849227161813,0.0492992464258046,0.0161568958874486,NA,0.0706346345848713,NA,NA,NA,0.082545166809593,0.00155354768148544,0.381033461345662,12.1898600978528,0.102327007287174,NA,NA,0.000414279381729451,NA,NA,NA,NA,NA,0.00600705103507704,NA,NA,0.00497135258075341,0.00134640799062071,0.00321066520840324,0.0126355211427482,NA,NA,NA,NA,NA,NA,NA,NA,0.0838915748002138,NA,0.184665034405903,24.6584266497641,0.132776541844289,NA,NA,0.0126355211427482,0.0307602440934117,0.114962528429923,NA,NA,NA,NA,NA,NA,NA,NA,0.00807844794372429,0.010564124234101,NA,NA,0.541981001147554,0.236760666658381,NA,NA,3.46140780419499,2.26714391651442,NA,NA,NA,NA,NA,NA,0.266588782142901,0.0455707319902396,0.384554836090363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243389136766052,NA,NA,0.0978735039335827,NA,NA,0.0463992907536985,0.0109784036158304,NA,NA,4.054759448677,NA,0.767245414962943,NA,NA,6.13827402923984
"Scaffold_414",22190323,43.5185418436676,2.46602088667209,0.0830587278968404,9.01293775669692e-05,NA,0.000121674659715408,NA,NA,0.000135194066350454,0.00173499051816416,0.000261375194944211,0.0143981680663233,0.00357813628940868,0.000216310506160726,0.00286160773775127,0.00639467933837646,0.0479623482722626,0.0129876433074003,0.0112616657269928,0.0100629450053521,0.0555963065521849,0.00552042437597686,0.0108560835279414,0.0655465898355783,0.0340418659070442,0.00782322997281292,0.0164215725927018,0.0650914364788651,NA,9.01293775669692e-06,9.01293775669692e-06,0.162944901703324,0.0576197110785634,0.467036915145399,10.6754597488284,0.184386680626506,0.00198284630647332,0.000216310506160726,0.00178906814470434,0.0116942867393142,0.00158627704517866,NA,NA,NA,0.00483093463758955,0.000721035020535753,0.0103603719513231,0.0465878752643664,0.0196121525585725,0.026926151548132,0.0139114694274617,0.00260924548056376,NA,NA,NA,0.00221718268814744,0.000139700535228802,NA,NA,0.168113821506789,0.01888210460028,0.26309666605574,24.0648232114512,0.168677130116583,NA,NA,0.0175121380612621,0.0155923823190857,0.240357024095593,NA,NA,NA,NA,NA,NA,9.01293775669692e-06,5.858409541853e-05,0.00369530448024574,0.00225774090805258,0.000491205107739982,0.000707515613900708,0.596052612663637,0.29090157903515,0.000261375194944211,0.000459659825591543,2.39914939498627,2.54467679447478,NA,NA,7.66099709319238e-05,0.000405582199051361,0.000238842850552468,6.30905642968784e-05,0.284907975426946,0.112567086112266,0.390404411869084,0.00365925272921895,0.000815670866981071,NA,NA,NA,NA,NA,NA,NA,NA,0.00309594411942539,NA,NA,0.00763395827992229,NA,9.01293775669692e-06,0.00455604003601029,0.00238392203664633,0.000802151460346026,0.00183863930236617,3.49548765017977,NA,0.866111773136425,0.000630905642968784,5.40776265401815e-05,5.89524541846462
"Scaffold_157",32854,2.38022767395142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5858038594996,NA,NA,NA,NA,NA,NA,1.25098922505631,NA,NA,NA,2.31326474706276,NA,NA,NA,NA,NA,0.343945942655384,16.466792475802,0.133925853777318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9145918305229,0.535703415109271,NA,NA,0.0821817739088087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39240275156754,0.660497960674499,NA,NA,9.81920009740062,11.386741340476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0943568515249285,NA,2.80026785170755,NA,NA,8.83910634930298
"Scaffold_164",5743958,43.352144984347,2.41396263691343,0.0316506492561401,NA,NA,NA,0.000766022314230014,NA,0.00308149885497074,0.000348191961013642,0.000504878343469782,0.0019498749816764,0.00626745529824556,NA,0.00139276784405457,0.00435239951267053,0.0805542101805062,0.0139276784405457,0.00567552896452237,3.48191961013642e-05,0.0168002621189083,0.00346451001208574,0.00442203790487326,0.142097139289667,0.0516890966124752,0.0126393681847952,0.00309890845302142,0.0519850597793368,NA,NA,NA,0.0913307513738784,0.0775771689138395,0.680784922173874,11.4072387019543,0.0761147626775823,0.00276812609005846,NA,0.000470059147368417,0.0244778948592591,NA,NA,0.00121867186354775,NA,0.00654600886705648,0.00134053904990252,0.0235377765645222,0.0576083599497072,0.0421486368807014,0.0162779741773878,0.0260099394877191,NA,NA,NA,NA,NA,NA,NA,NA,0.138684858071734,0.0502266903762179,0.416472404568418,20.8323946658384,0.195091955755944,NA,NA,0.021361576808187,0.0123259954198829,0.161108420361012,NA,NA,NA,NA,NA,NA,NA,NA,0.00396938835555552,0.00499655464054577,0.00978419410448335,0.00297704126666664,0.69293682161325,0.355242848224169,NA,NA,2.428586699276,2.70141251032824,NA,NA,0.000261143970760232,0.000870479902534106,NA,NA,0.248347916192981,0.16922129305263,0.469972099378164,0.0141888224113059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00412607473801166,0.00339487161988301,0.00511842182690054,0.00734685037738786,3.58313901320309,NA,0.820949596079916,NA,NA,7.90723051944321
"Scaffold_293",9976466,49.8177611190175,2.47059429661766,0.0450159405144066,0.000310731274982544,0.000922170235432066,NA,NA,0.000521226654809429,NA,0.00369870453124383,NA,0.000300707685466978,0.000290684095951412,0.000982311772525461,0.00298702967563865,0.000902123056400934,0.0630984960004876,0.0108455238558423,0.00428007272314665,0.000300707685466978,0.0252093276316483,0.00792865930681265,0.00335790248771459,0.0431415292749958,0.0224829112834144,0.00215507174584668,0.00173408098619291,0.0407358677912599,NA,NA,NA,0.0569941299855079,0.06119401399253,0.530638805364545,9.86902576523591,0.084979991912968,0.0054127383384056,0.000611438960449522,0.0036786573522127,0.0112665146154961,NA,0.00086202869833867,NA,NA,0.00509198347390749,0.000781839982214143,0.00897111261643151,0.0377488381156213,0.00807901314954614,0.00809906032857727,0.0124893925363952,NA,NA,NA,NA,0.00206485944020658,NA,NA,NA,0.190307870542535,0.00772818751650133,0.199329101106544,20.4428702508483,0.0995141967105386,1.00235895155659e-05,NA,0.0172305503772578,0.0195259523763224,0.175412816522404,NA,NA,NA,NA,NA,NA,NA,NA,0.0032376194135278,0.00145342047975706,0.00371875171027496,0.00211497738778441,0.531601069958039,0.289842114432105,NA,NA,1.95881988672141,2.47162672633776,NA,NA,NA,NA,NA,NA,0.26851191594298,0.111963494888871,0.544140580442012,0.00202476508214432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00490153527311174,0.00117275997332121,0.00148349124830376,0.00347818556190138,2.94666468065946,NA,0.728624745476003,0.000791863571729709,NA,5.69435108584543
"Scaffold_334",42206,3.30995593043643,1.03539781073781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00236933137468606,0.191915841349571,0.412263659195375,NA,0.106619911860873,NA,NA,0.00947732549874425,NA,NA,NA,NA,NA,NA,NA,0.270103776714211,0.00947732549874425,0.81268066151732,12.5456096289627,0.00947732549874425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525991565180306,NA,NA,NA,NA,NA,NA,NA,0.00710799412405819,NA,NA,31.3557314125954,0.0544946216177795,NA,NA,NA,NA,1.20598966971521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65142396815619,NA,NA,NA,0.651566128038667,0.135051888357106,NA,NA,NA,NA,NA,NA,0.151637207979908,NA,0.199023835473629,21.3642610055442,1.55902004454343,NA,NA,NA,NA,NA,1.61114533478652,NA,NA,1.35525754632043,NA,NA,0.509406245557504,NA,NA,NA,NA,NA,NA,13.9269298204047,NA,0.476235606311899,NA,NA,4.54437757664787
"Scaffold_258",408087,36.1633671251473,2.04931791505243,0.0365118222339844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00980183147221058,NA,NA,NA,NA,NA,NA,NA,0.066652454011032,NA,NA,0.184764523251169,NA,NA,NA,0.288663936856602,0.0321009980714897,0.270285502846207,8.53273934234612,0.0110270604062369,0.0147027472083159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112721061930422,NA,NA,NA,0.345514559395423,0.0154378845687317,NA,NA,NA,NA,NA,NA,0.247251198886512,NA,0.0313658607110739,31.3487075059975,0.0374920053812055,NA,NA,NA,NA,0.267835044978154,NA,NA,NA,NA,NA,NA,0.000490091573610529,0.000735137360415794,0.0041657783756895,0.00147027472083159,NA,NA,0.999541764378674,0.168836547108827,NA,NA,2.9089385351653,2.98147208805965,NA,NA,NA,NA,NA,NA,0.61629015381524,0.0470487910666108,0.373939870664834,1.3497121937234,0.149722975738017,NA,NA,0.0345514559395423,NA,NA,0.0465586994930003,NA,NA,0.512145694423003,0.0291604486298265,0.0335712727923212,0.0820903385797636,NA,NA,0.00196036629444212,NA,NA,NA,5.79925359053339,NA,0.232058360104586,NA,NA,3.66147414644426
"Scaffold_234",295730,25.9814695837419,0.731072261860481,NA,NA,NA,0.0926520812903662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0287424339769384,NA,NA,0.160619483988774,0.20356406181314,NA,NA,0.000676292564163257,0.0344909207723261,NA,0.0912994961620397,0.137963683089304,NA,NA,NA,NA,0.274236634768201,0.858215263923173,9.4937950157238,0.047340479491428,NA,NA,NA,0.0334764819260812,NA,NA,NA,NA,NA,NA,NA,0.0517363811584892,NA,NA,0.0246846785919589,NA,NA,NA,NA,NA,NA,NA,NA,0.0284042876948568,NA,0.107192371419876,41.8117877793934,0.181584553477835,NA,NA,NA,NA,0.308051262976364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867007067257296,1.1375240929226,NA,NA,3.454840564028,3.34392858350522,NA,NA,NA,NA,NA,NA,0.071010719237142,0.0852128630845704,0.519730835559463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11317756061272,NA,1.79183714875055,NA,NA,6.93267507523755
"Scaffold_344",39990007,84.2896526624764,0.749899843728459,0.00629907366607863,2.75068719042735e-05,0.000287571842635586,0.000115028737054235,NA,NA,NA,0.00139784921768081,NA,NA,0.000272568094324165,0.000192548103329914,0.000245061222419891,0.00106776675482953,0.0155838932461302,0.000797699285223931,0.000357589334755555,0.000922730521152447,0.00426606576988096,0.00200800164901196,0.00310577590046433,0.0131107753994642,0.0200875183642754,0.00131282797724942,0.00261315283090598,0.0141310302846409,NA,NA,NA,0.0173793417940637,0.0212803163550334,0.153860938308913,2.61252767472634,0.0321005195122872,0.00329332275435711,0.000192548103329914,1.00024988742813e-05,0.0103375825865697,NA,0.000147536858395649,0.000642660552672571,NA,0.00136033984690225,0.00112778174807521,0.00115028737054235,0.0300425053689038,0.0032683165071714,0.000135033734802797,0.00872718026781041,NA,NA,NA,NA,3.75093707785548e-05,0.000257564346012743,0.000575143685271173,4.25106202156954e-05,0.0275218756525849,0.00268567094774452,0.0605176188141202,4.11624834174198,0.0628707066742949,NA,NA,0.00840459967911483,0.00783945849271794,0.0499874881242206,NA,NA,NA,NA,NA,NA,NA,NA,0.000807701784098212,0.00130532610309371,0.00213303288494048,0.000695173671762548,0.130270044713921,0.0667591781116717,NA,NA,0.44346078759126,1.02037241453846,0.0008677167773439,0.00119529861547661,0.00015753935726993,NA,NA,0.000147536858395649,0.131662892682164,0.0584145934258026,0.136914204591162,0.00641910365257,NA,NA,NA,NA,NA,NA,0.000307576840384149,NA,NA,0.0172718149311652,NA,NA,0.0172042980637638,0.00386596581490971,0.00361090209361554,0.00610652556274871,0.008357087809462,0.00235558848489324,0.00127531860647086,3.06780141348812,NA,0.318614597891918,0.00797699285223931,NA,2.18134245387854
"Scaffold_81",136055,41.800742346845,0.707066994965271,NA,NA,NA,NA,NA,NA,NA,0.216089081621403,0.159494322149131,NA,NA,NA,NA,NA,0.153614347139025,1.73165264047628,1.7551725405167,NA,2.30495020396163,NA,NA,0.000734996876263276,0.973135864172577,1.83749219065819,0.552717650949983,2.7679982360075,NA,NA,NA,NA,0.0154349344015288,0.72470691999559,4.97372386167359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43177391496086,0.0286648781742678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0286648781742678,NA,0.192569181580978,19.5384219617067,3.05905699900775,NA,NA,NA,NA,2.22851052883025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782036676344126,0.589467494763147,NA,NA,1.1407151519606,1.47146374627908,NA,NA,NA,NA,NA,NA,0.231524016022932,0.093344603285436,2.10650104737055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80654882216751,NA,0.400573297563485,NA,NA,2.19543566939841
