"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC-Unknown","LINE-LTR-Simple-tandem_repeat","LINE-LTR-Simple-tandem_repeat-Unknown","LINE-LTR-Simple-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-Simple-tandem_repeat","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Satellite","LTR-Satellite-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-tRNA","LTR-tRNA-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","rRNA-Unknown","Satellite","Satellite-tandem_repeat","Satellite-tandem_repeat-Unknown","Satellite-Unknown","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","tRNA-Unknown","Unknown"
"Scaffold_344",39990007,37004688,117688,1923,5,NA,NA,NA,NA,28,36,111,8,2,NA,NA,21,774,2481,150,230,735,2456,801,10542,341920,2566,NA,86,NA,NA,334,111,NA,NA,NA,NA,NA,2301,7,2444,519018,360,44,NA,465,NA,NA,33,188,229,21,15184,4867,NA,NA,22210,109105,9497,8796,8085,2255,123,NA,3189,886,NA,196,1345,908,235,42,1491519,NA,26250,1397,NA,271112
"Scaffold_293",9976466,8023849,90459,3835,NA,NA,6,NA,NA,NA,NA,194,5,NA,NA,NA,NA,382,1364,NA,NA,687,1818,1050,10429,340457,1931,NA,NA,NA,NA,101,133,8,NA,NA,21,NA,10062,NA,1840,655453,653,46,NA,4625,NA,NA,112,86,NA,15,17175,5378,NA,NA,26275,76531,5106,5481,10266,202,NA,NA,NA,NA,NA,NA,693,437,NA,NA,461619,NA,19373,79,NA,198230
"Scaffold_414",22190323,17213817,159033,11184,8,24,NA,NA,NA,33,NA,149,25,NA,NA,3,64,1076,1590,424,100,2343,6739,1472,19035,762730,6026,36,NA,NA,NA,473,758,81,NA,NA,3,NA,11122,361,6741,1829431,3495,507,1158,14416,NA,NA,72,424,NA,NA,45489,9413,45,102,84540,167588,11509,13973,24170,1377,NA,NA,NA,NA,NA,NA,1254,332,NA,NA,1228101,NA,51831,153,12,495481
"Scaffold_164",5743958,4526537,54750,1243,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,39,NA,NA,NA,655,6,3,124,625,1292,7929,200014,946,NA,NA,NA,NA,152,50,13,NA,NA,NA,NA,4052,102,1237,355841,815,45,NA,3280,NA,NA,NA,47,NA,NA,16831,4215,NA,NA,17037,33708,3799,2825,5727,NA,NA,NA,NA,NA,NA,NA,263,477,NA,NA,316823,NA,15599,NA,NA,166810
"Scaffold_280",3960505,3347547,37478,511,NA,NA,NA,NA,NA,NA,4,8,1,NA,NA,NA,NA,45,549,3,1,2,1387,632,4378,135475,885,NA,NA,NA,NA,152,NA,38,NA,NA,NA,NA,693,NA,812,106645,143,22,NA,534,NA,NA,NA,NA,NA,NA,3778,965,NA,NA,4981,27308,4022,2546,1496,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,194125,NA,5512,NA,NA,77587
"Scaffold_278",431038,314969,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,7145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,NA,175,56679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,270,NA,NA,3599,597,42,NA,135,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,26953,NA,3912,NA,NA,14217
"Scaffold_380",232162,106931,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,133,282,11857,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,2,49525,144,22,NA,3,NA,NA,NA,NA,NA,NA,3248,1210,NA,NA,3777,20865,757,92,1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14026,NA,1506,NA,NA,15773
"Scaffold_394",63570,39822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,88,NA,NA,533,621,80,NA,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4504,NA,1136,NA,NA,5463
"Scaffold_103",273970,207892,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19201,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,141,NA,NA,711,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19821,NA,239,NA,NA,9647
"Scaffold_127",330409,256214,2173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,297,58,14169,307,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,146,26412,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,37,NA,NA,355,586,88,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21322,NA,707,NA,NA,7210
"Scaffold_248",165342,114899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15772,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,12036,111,13,1265,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,8894,NA,268,NA,NA,3452
"Scaffold_36",780418,521271,13646,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,178,527,2111,21745,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,823,NA,2,80407,8,NA,NA,595,NA,NA,NA,NA,NA,NA,7906,943,NA,NA,4065,16795,984,3694,4457,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,63924,NA,3355,NA,NA,31618
"Scaffold_13",320608,249124,2444,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,11,NA,42,493,6876,181,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,192,18105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818,147,NA,NA,477,1128,207,674,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29197,NA,459,NA,NA,9310
"Scaffold_61",264176,189229,2107,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,201,NA,NA,NA,NA,NA,10,63,25121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1116,NA,NA,291,3213,NA,NA,166,1278,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,17386,NA,1823,NA,NA,8461
"Scaffold_157",32854,3586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4425,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13784,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,811,59,NA,NA,2548,3879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,993,NA,NA,2595
"Scaffold_395",67686,25811,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,2,NA,NA,NA,NA,NA,2550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,16091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,42,NA,NA,1742,1106,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17792,NA,110,NA,NA,1351
"Scaffold_217",48296,4560,78,NA,NA,NA,NA,72,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,79,71,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,106,497,123,NA,120,615,66,11813,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,179,11,NA,NA,1123,5526,602,4868,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2818,NA,10553,NA,NA,3374
